# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -5.961147 eV
#    Energy (eV)      DOS 
     -4.03885291    159.42690464
     -4.01883289    173.59260185
     -3.99881287    187.02640385
     -3.97879285    199.28443262
     -3.95877283    209.88308510
     -3.93875281    218.33481719
     -3.91873279    224.20005298
     -3.89871277    227.14548581
     -3.87869275    226.99576618
     -3.85867273    223.76595537
     -3.83865271    217.66627922
     -3.81863269    209.07749732
     -3.79861267    198.50253861
     -3.77859265    186.50564879
     -3.75857263    173.65245111
     -3.73855261    160.46254924
     -3.71853259    147.38146387
     -3.69851257    134.77263205
     -3.67849255    122.92499514
     -3.65847253    112.06889696
     -3.63845251    102.39309524
     -3.61843249     94.05802064
     -3.59841246     87.20363212
     -3.57839244     81.95285884
     -3.55837242     78.41276332
     -3.53835240     76.67513156
     -3.51833238     76.81686174
     -3.49831236     78.89923484
     -3.47829234     82.96460306
     -3.45827232     89.02933057
     -3.43825230     97.07256473
     -3.41823228    107.02110037
     -3.39821226    118.73106506
     -3.37819224    131.96773135
     -3.35817222    146.38597732
     -3.33815220    161.51591833
     -3.31813218    176.76035201
     -3.29811216    191.41149416
     -3.27809214    204.69257528
     -3.25807212    215.82465750
     -3.23805210    224.11153036
     -3.21803208    229.02822917
     -3.19801206    230.29459494
     -3.17799204    227.91651655
     -3.15797202    222.18426772
     -3.13795200    213.62768034
     -3.11793198    202.93835787
     -3.09791196    190.87629164
     -3.07789194    178.18002143
     -3.05787192    165.49587499
     -3.03785190    153.33468236
     -3.01783188    142.05646209
     -2.99781186    131.87745373
     -2.97779184    122.89095440
     -2.95777182    115.09374695
     -2.93775180    108.41241849
     -2.91773178    102.72700818
     -2.89771176     97.89181675
     -2.87769174     93.75412388
     -2.85767172     90.17106194
     -2.83765170     87.02369352
     -2.81763168     84.22639245
     -2.79761166     81.72967375
     -2.77759164     79.51583464
     -2.75757162     77.58869484
     -2.73755160     75.96049847
     -2.71753158     74.63983451
     -2.69751156     73.62386468
     -2.67749154     72.89645565
     -2.65747152     72.43171123
     -2.63745150     72.20071706
     -2.61743148     72.17860040
     -2.59741146     72.34935736
     -2.57739144     72.70698279
     -2.55737142     73.25274764
     -2.53735140     73.98957631
     -2.51733138     74.91516385
     -2.49731136     76.01571633
     -2.47729134     77.26205967
     -2.45727132     78.60940039
     -2.43725130     80.00128009
     -2.41723128     81.37733043
     -2.39721126     82.68349710
     -2.37719124     83.88273141
     -2.35717122     84.96399713
     -2.33715120     85.94790596
     -2.31713118     86.88824144
     -2.29711116     87.86973239
     -2.27709114     89.00330670
     -2.25707112     90.42040658
     -2.23705110     92.26768077
     -2.21703108     94.70258248
     -2.19701106     97.88931823
     -2.17699104    101.99349860
     -2.15697102    107.17306567
     -2.13695100    113.56297334
     -2.11693098    121.25202875
     -2.09691096    130.25245850
     -2.07689094    140.46596704
     -2.05687092    151.65356602
     -2.03685090    163.41900359
     -2.01683088    175.21574776
     -1.99681086    186.38416220
     -1.97679084    196.21884081
     -1.95677082    204.05756215
     -1.93675080    209.37565158
     -1.91673078    211.86558217
     -1.89671076    211.48330693
     -1.87669074    208.45008779
     -1.85667072    203.20940204
     -1.83665070    196.34946567
     -1.81663068    188.50959039
     -1.79661066    180.29081973
     -1.77659064    172.18785894
     -1.75657062    164.55185991
     -1.73655060    157.58484565
     -1.71653058    151.35917706
     -1.69651056    145.85133312
     -1.67649054    140.97893684
     -1.65647052    136.63269966
     -1.63645050    132.69923608
     -1.61643048    129.07478558
     -1.59641046    125.67245062
     -1.57639044    122.42611108
     -1.55637042    119.29307957
     -1.53635040    116.25580814
     -1.51633038    113.32164684
     -1.49631036    110.51950337
     -1.47629034    107.89327645
     -1.45627032    105.49348983
     -1.43625030    103.36968417
     -1.41623028    101.56607037
     -1.39621026    100.12155477
     -1.37619024     99.07308222
     -1.35617022     98.45935124
     -1.33615020     98.32134890
     -1.31613018     98.69728579
     -1.29611016     99.61200323
     -1.27609014    101.06369221
     -1.25607012    103.01252159
     -1.23605010    105.37566584
     -1.21603008    108.03125604
     -1.19601006    110.83082538
     -1.17599004    113.61718744
     -1.15597002    116.24345893
     -1.13595000    118.58946329
     -1.11592998    120.57350056
     -1.09590996    122.15936940
     -1.07588994    123.35954327
     -1.05586992    124.23509514
     -1.03584990    124.89171267
     -1.01582988    125.46995453
     -0.99580986    126.12786279
     -0.97578984    127.01574083
     -0.95576982    128.24599485
     -0.93574980    129.86420736
     -0.91572978    131.82946233
     -0.89570976    134.01112292
     -0.87568974    136.20553092
     -0.85566972    138.17046940
     -0.83564970    139.66966175
     -0.81562968    140.51618734
     -0.79560966    140.60384972
     -0.77558964    139.91925470
     -0.75556962    138.53327771
     -0.73554960    136.57654232
     -0.71552958    134.20741540
     -0.69550956    131.58170328
     -0.67548954    128.83088938
     -0.65546952    126.05169132
     -0.63544950    123.30569638
     -0.61542948    120.62529154
     -0.59540946    118.02160777
     -0.57538944    115.49137510
     -0.55536942    113.02148462
     -0.53534940    110.59168684
     -0.51532938    108.17664074
     -0.49530936    105.74842711
     -0.47528934    103.28000191
     -0.45526932    100.74933266
     -0.43524930     98.14343038
     -0.41522928     95.46125055
     -0.39520926     92.71445687
     -0.37518924     89.92528442
     -0.35516922     87.12121403
     -0.33514920     84.32688088
     -0.31512918     81.55449673
     -0.29510916     78.79484065
     -0.27508914     76.01126806
     -0.25506912     73.13895820
     -0.23504910     70.09070514
     -0.21502908     66.76912916
     -0.19500906     63.08359904
     -0.17498904     58.96883466
     -0.15496902     54.40146646
     -0.13494900     49.41097181
     -0.11492898     44.08239260
     -0.09490896     38.54986420
     -0.07488894     32.98188751
     -0.05486892     27.56100135
     -0.03484890     22.46163425
     -0.01482888     17.83015520
      0.00519114     13.77045864
      0.02521116     10.33702802
      0.04523118      7.53572659
      0.06525120      5.33102189
      0.08527122      3.65732719
      0.10529124      2.43180829
      0.12531126      1.56630995
      0.14533128      0.97679051
      0.16535130      0.58953674
      0.18537132      0.34421594
      0.20539134      0.19435630
      0.22541136      0.10608658
      0.24543138      0.05595917
      0.26545140      0.02851628
      0.28547142      0.01403437
      0.30549144      0.00666875
      0.32551146      0.00305862
      0.34553148      0.00135369
      0.36555150      0.00057798
      0.38557152      0.00023801
      0.40559154      0.00009451
      0.42561156      0.00003618
      0.44563158      0.00001335
      0.46565160      0.00000475
      0.48567162      0.00000163
      0.50569164      0.00000054
      0.52571166      0.00000017
      0.54573168      0.00000005
      0.56575170      0.00000002
      0.58577172      0.00000000
      0.60579174      0.00000000
      0.62581176      0.00000000
      0.64583178      0.00000000
      0.66585180      0.00000000
      0.68587182      0.00000000
      0.70589184      0.00000000
      0.72591186      0.00000000
      0.74593188      0.00000000
      0.76595190      0.00000000
      0.78597192      0.00000000
      0.80599194      0.00000000
      0.82601196      0.00000000
      0.84603198      0.00000000
      0.86605200      0.00000000
      0.88607202      0.00000000
      0.90609204      0.00000000
      0.92611206      0.00000000
      0.94613208      0.00000000
      0.96615210      0.00000000
      0.98617212      0.00000000
      1.00619214      0.00000000
      1.02621216      0.00000000
      1.04623218      0.00000000
      1.06625220      0.00000000
      1.08627222      0.00000001
      1.10629224      0.00000002
      1.12631226      0.00000006
      1.14633228      0.00000020
      1.16635230      0.00000061
      1.18637232      0.00000182
      1.20639234      0.00000518
      1.22641236      0.00001421
      1.24643238      0.00003754
      1.26645240      0.00009555
