# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -10.00000000    159.42690464
     -9.97997998    173.59260185
     -9.95995996    187.02640385
     -9.93993994    199.28443262
     -9.91991992    209.88308510
     -9.89989990    218.33481719
     -9.87987988    224.20005298
     -9.85985986    227.14548581
     -9.83983984    226.99576618
     -9.81981982    223.76595537
     -9.79979980    217.66627922
     -9.77977978    209.07749732
     -9.75975976    198.50253861
     -9.73973974    186.50564879
     -9.71971972    173.65245111
     -9.69969970    160.46254924
     -9.67967968    147.38146387
     -9.65965966    134.77263205
     -9.63963964    122.92499514
     -9.61961962    112.06889696
     -9.59959960    102.39309524
     -9.57957958     94.05802064
     -9.55955956     87.20363212
     -9.53953954     81.95285884
     -9.51951952     78.41276332
     -9.49949950     76.67513156
     -9.47947948     76.81686174
     -9.45945946     78.89923484
     -9.43943944     82.96460306
     -9.41941942     89.02933057
     -9.39939940     97.07256473
     -9.37937938    107.02110037
     -9.35935936    118.73106506
     -9.33933934    131.96773135
     -9.31931932    146.38597732
     -9.29929930    161.51591833
     -9.27927928    176.76035201
     -9.25925926    191.41149416
     -9.23923924    204.69257528
     -9.21921922    215.82465750
     -9.19919920    224.11153036
     -9.17917918    229.02822917
     -9.15915916    230.29459494
     -9.13913914    227.91651655
     -9.11911912    222.18426772
     -9.09909910    213.62768034
     -9.07907908    202.93835787
     -9.05905906    190.87629164
     -9.03903904    178.18002143
     -9.01901902    165.49587499
     -8.99899900    153.33468236
     -8.97897898    142.05646209
     -8.95895896    131.87745373
     -8.93893894    122.89095440
     -8.91891892    115.09374695
     -8.89889890    108.41241849
     -8.87887888    102.72700818
     -8.85885886     97.89181675
     -8.83883884     93.75412388
     -8.81881882     90.17106194
     -8.79879880     87.02369352
     -8.77877878     84.22639245
     -8.75875876     81.72967375
     -8.73873874     79.51583464
     -8.71871872     77.58869484
     -8.69869870     75.96049847
     -8.67867868     74.63983451
     -8.65865866     73.62386468
     -8.63863864     72.89645565
     -8.61861862     72.43171123
     -8.59859860     72.20071706
     -8.57857858     72.17860040
     -8.55855856     72.34935736
     -8.53853854     72.70698279
     -8.51851852     73.25274764
     -8.49849850     73.98957631
     -8.47847848     74.91516385
     -8.45845846     76.01571633
     -8.43843844     77.26205967
     -8.41841842     78.60940039
     -8.39839840     80.00128009
     -8.37837838     81.37733043
     -8.35835836     82.68349710
     -8.33833834     83.88273141
     -8.31831832     84.96399713
     -8.29829830     85.94790596
     -8.27827828     86.88824144
     -8.25825826     87.86973239
     -8.23823824     89.00330670
     -8.21821822     90.42040658
     -8.19819820     92.26768077
     -8.17817818     94.70258248
     -8.15815816     97.88931823
     -8.13813814    101.99349860
     -8.11811812    107.17306567
     -8.09809810    113.56297334
     -8.07807808    121.25202875
     -8.05805806    130.25245850
     -8.03803804    140.46596704
     -8.01801802    151.65356602
     -7.99799800    163.41900359
     -7.97797798    175.21574776
     -7.95795796    186.38416220
     -7.93793794    196.21884081
     -7.91791792    204.05756215
     -7.89789790    209.37565158
     -7.87787788    211.86558217
     -7.85785786    211.48330693
     -7.83783784    208.45008779
     -7.81781782    203.20940204
     -7.79779780    196.34946567
     -7.77777778    188.50959039
     -7.75775776    180.29081973
     -7.73773774    172.18785894
     -7.71771772    164.55185991
     -7.69769770    157.58484565
     -7.67767768    151.35917706
     -7.65765766    145.85133312
     -7.63763764    140.97893684
     -7.61761762    136.63269966
