#  aims_uuid : C32737CD-BA41-4EDD-A1E4-9489DAF4AB0A                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       25.67959795        1.15416882        3.60514512       20.61659216        0.26138728        0.04230456
       -9.97997998       27.48959249        1.49073086        4.02584978       21.64380052        0.28231567        0.04689566
       -9.95995996       29.24348189        1.87495671        4.46662761       22.54302224        0.30747616        0.05139916
       -9.93993994       30.90487739        2.29555419        4.90900310       23.30821557        0.33641904        0.05568547
       -9.91991992       32.41463053        2.73523906        5.32803335       23.92378530        0.36797930        0.05959352
       -9.89989990       33.69503667        3.17169676        5.69502926       24.36495696        0.40041357        0.06294012
       -9.87987988       34.66036983        3.57953856        5.98140035       24.60223388        0.43165836        0.06553869
       -9.85985986       35.23136665        3.93303405        6.16282914       24.60862816        0.45965117        0.06722413
       -9.83983984       35.35011300        4.20919616        6.22288824       24.36750822        0.48264177        0.06787861
       -9.81981982       34.99169020        4.39067532        6.15536278       23.87877449        0.49942532        0.06745228
       -9.79979980       34.16988417        4.46792659        5.96487558       23.16165522        0.50945237        0.06597441
       -9.77977978       32.93588337        4.44025335        5.66582264       22.25345157        0.51280323        0.06355258
       -9.75975976       31.37064108        4.31556457        5.27998767       21.20468037        0.51004803        0.06036044
       -9.73973974       29.57294310        4.10894561        4.83342553       20.07191619        0.50203899        0.05661678
       -9.71971972       27.64589615        3.84036278        4.35325117       18.91003018        0.48969205        0.05255998
       -9.69969970       25.68450336        3.53194921        3.86486715       17.76545323        0.47381143        0.04842234
       -9.67967968       23.76639711        3.20533611        3.38997033       16.67168806        0.45499466        0.04440794
       -9.65965966       21.94692759        2.87941679        2.94546545       15.64773560        0.43363286        0.04067688
       -9.63963964       20.25889610        2.56879987        2.54323202       14.69952945        0.40999711        0.03733765
       -9.61961962       18.71642569        2.28306346        2.19056766       13.82396532        0.38438108        0.03444817
       -9.59959960       17.32184289        2.02679331        1.89106791       13.01469970        0.35725662        0.03202534
       -9.57957958       16.07403108        1.80028706        1.64569160       12.26859549        0.32939542        0.03006150
       -9.55955956       14.97653749        1.60073555        1.45378934       11.59155043        0.30191678        0.02854539
       -9.53953954       14.04381167        1.42364727        1.31393102       11.00251005        0.27623933        0.02748400
       -9.51951952       13.30434453        1.26426590        1.22444487       10.53477410        0.25393814        0.02692152
       -9.49949950       12.80012741        1.11874758        1.18366188       10.23423264        0.23653402        0.02695130
       -9.47947948       12.58264226        0.98491858        1.18992679       10.15481689        0.22526154        0.02771845
       -9.45945946       12.70633793        0.86252055        1.24147351       10.35206132        0.22087057        0.02941198
       -9.43943944       13.22103447        0.75295526        1.33625942       10.87606202        0.22351038        0.03224739
       -9.41941942       14.16476605        0.65864040        1.47181396       11.76514378        0.23272564        0.03644226
       -9.39939940       15.55819038        0.58215842        1.64510288       13.04117627        0.24756490        0.04218791
       -9.37937938       17.40098380        0.52540559        1.85236726       14.70681886        0.26677198        0.04962012
       -9.35935936       19.66988119        0.48892518        2.08889177       16.74426540        0.28900805        0.05879080
       -9.33933934       22.31753679        0.47154738        2.34869659       19.11460650        0.31304411        0.06964221
       -9.31931932       25.27142688        0.47038070        2.62421943       21.75696830        0.33787360        0.08198484
       -9.29929930       28.43262819        0.48112398        2.90612465       24.58717698        0.36272088        0.09548170
       -9.27927928       31.67525712        0.49861333        3.18340696       27.49663871        0.38695519        0.10964293
       -9.25925926       34.84820280        0.51748909        3.44391926       30.35300714        0.40995080        0.12383651
       -9.23923924       37.78105046        0.53286350        3.67534755       33.00456752        0.43095173        0.13732015
       -9.21921922       40.29547362        0.54088390        3.86650920       35.28978561        0.44899784        0.14929707
       -9.19919920       42.22193116        0.53911253        4.00871675       37.05216015        0.46294905        0.15899269
       -9.17917918       43.41967510        0.52667777        4.09688253       38.15875895        0.47161256        0.16574331
       -9.15915916       43.79652315        0.50419045        4.13007384       38.51923137        0.47394530        0.16908219
       -9.13913914       43.32420106        0.47345830        4.11136095       38.10129491        0.46928050        0.16880640
       -9.11911912       42.04562972        0.43706599        4.04698927       36.93904447        0.45751974        0.16501025
       -9.09909910       40.07218369        0.39790885        3.94508802       35.13186821        0.43924112        0.15807749
       -9.07907908       37.57115179        0.35876804        3.81423834       32.83381663        0.41569550        0.14863327
       -9.05905906       34.74568852        0.32199317        3.66223040       30.23531047        0.38868958        0.13746490
       -9.03903904       31.81087275        0.28932207        3.49524900       27.54049743        0.36037802        0.12542623
       -9.01901902       28.96982457        0.26182843        3.31758168       24.94406975        0.33300318        0.11334154
       -8.99899900       26.39327460        0.23996133        3.13179769       22.61096643        0.30862615        0.10192299
       -8.97897898       24.20488371        0.22363234        2.93924511       20.66140531        0.28888997        0.09171098
       -8.95895896       22.47338424        0.21231604        2.74067606       19.16250479        0.27484553        0.08304182
       -8.93893894       21.21155698        0.20514886        2.53682963       18.12667686        0.26685886        0.07604278
       -8.91891892       20.38129763        0.20102809        2.32885612       17.51615728        0.26460505        0.07065109
       -8.89889890       19.90354927        0.19871980        2.11853284       17.25250171        0.26714328        0.06665164
       -8.87887888       19.67160869        0.19697969        1.90828208       17.22956187        0.27305864        0.06372641
       -8.85885886       19.56619432        0.19468020        1.70104746       17.32830742        0.28065029        0.06150896
       -8.83883884       19.47066017        0.19092714        1.50010653       17.43184671        0.28814296        0.05963683
       -8.81881882       19.28484593        0.18514617        1.30889247       17.43911311        0.29389745        0.05779673
