#  aims_uuid : C32737CD-BA41-4EDD-A1E4-9489DAF4AB0A                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       50.99083619        4.03420978       43.79297996        2.81050482        0.32428895        0.02885269
       -9.97997998       55.36621572        4.48518952       47.42903407        3.06977722        0.35127230        0.03094261
       -9.95995996       59.80791601        4.92508235       51.15275980        3.31917373        0.37726166        0.03363847
       -9.93993994       64.18826060        5.34046725       54.85803002        3.55110521        0.40174692        0.03691120
       -9.91991992       68.31745885        5.71536993       58.38139983        3.75605679        0.42400262        0.04062968
       -9.89989990       71.96146726        6.03221831       61.51826370        3.92329614        0.44311508        0.04457403
       -9.87987988       74.87345355        6.27354812       64.05122737        4.04213183        0.45807881        0.04846742
       -9.85985986       76.83199609        6.42416235       65.78440349        4.10346749        0.46794278        0.05201998
       -9.83983984       77.67723844        6.47330133       66.57568650        4.10130373        0.47197197        0.05497490
       -9.81981982       77.33682765        6.41636069       66.35968534        4.03384946        0.46978560        0.05714656
       -9.79979980       75.83627747        6.25579898       65.15658763        3.90400784        0.46144038        0.05844263
       -9.77977978       73.29241029        6.00106044       63.06588395        3.71915737        0.44744198        0.05886656
       -9.75975976       69.89248274        5.66754210       60.24744945        3.49030379        0.42868569        0.05850171
       -9.73973974       65.86443451        5.27480819       56.89500939        3.23079222        0.40634168        0.05748302
       -9.71971972       61.44488554        4.84436946       53.20802129        2.95482112        0.38170947        0.05596420
       -9.69969970       56.85108022        4.39739533       49.36753144        2.67599682        0.35606794        0.05408869
       -9.67967968       52.26137036        3.95271483       45.52001358        2.40612658        0.33054486        0.05197051
       -9.65965966       47.80660703        3.52539550       41.77111088        2.15438883        0.30602388        0.04968794
       -9.63963964       43.57247318        3.12607511       38.18905414        1.92695461        0.28309973        0.04728960
       -9.61961962       39.61070237        2.76107247       34.81566714        1.72706784        0.26208505        0.04480985
       -9.59959960       35.95556366        2.43314754       31.68153546        1.55552740        0.24306429        0.04228897
       -9.57957958       32.64117286        2.14265318       28.82128859        1.41145544        0.22598262        0.03979304
       -9.55955956       29.71528212        1.88875801       26.28514917        1.29319406        0.21075187        0.03742901
       -9.53953954       27.24623853        1.67044059       24.14393770        1.19915629        0.19735246        0.03535149
       -9.51951952       25.32160821        1.48705616       22.48640511        1.12847617        0.18591154        0.03375923
       -9.49949950       24.03912118        1.33842338       21.40971997        1.08135270        0.17674382        0.03288131
       -9.47947948       23.49254230        1.22452294       21.00566009        1.05905409        0.17035063        0.03295455
       -9.45945946       23.75626492        1.14499685       21.34606845        1.06362128        0.16738250        0.03419584
       -9.43943944       24.87250389        1.09865959       22.47112759        1.09736530        0.16857752        0.03677389
       -9.41941942       26.84390398        1.08318410       24.38296953        1.16227581        0.17468915        0.04078539
       -9.39939940       29.63250691        1.09503182       27.04537531        1.25944735        0.18641293        0.04623949
       -9.37937938       33.16393998        1.12959985       30.38838012        1.38859364        0.20431378        0.05305260
       -9.35935936       37.33410922        1.18149386       34.31513547        1.54767927        0.22874802        0.06105259
       -9.33933934       42.01517935        1.24482448       38.70792146        1.73267166        0.25977208        0.06998968
       -9.31931932       47.05843619        1.31346089       43.43097354        1.93741684        0.29703524        0.07954968
       -9.29929930       52.29351114        1.38123579       48.32957383        2.15366750        0.33966737        0.08936666
       -9.27927928       57.52572167        1.44214664       53.22703053        2.37132216        0.38618849        0.09903386
       -9.25925926       62.53503534        1.49061376       57.92288300        2.57894471        0.43447906        0.10811481
       -9.23923924       67.08060696        1.52182751       62.19616772        2.76460293        0.48185013        0.11615867
       -9.21921922       70.91362748        1.53215820       65.81651867        2.91698986        0.52523695        0.12272379
       -9.19919920       73.79865783        1.51954260       68.56349912        3.02669449        0.56151049        0.12741114
       -9.17917918       75.54056569        1.48373012       70.25165993        3.08740374        0.58786655        0.12990536
       -9.15915916       76.01174887        1.42628991       70.75643208        3.09678666        0.60222323        0.13001699
       -9.13913914       75.17343535        1.35034334       70.03497592        3.05685400        0.60354538        0.12771671
       -9.11911912       73.08584785        1.26007109       68.13690333        2.97369576        0.59202486        0.12315281
       -9.09909910       69.90456241        1.16011598       65.20208408        2.85664070        0.56907576        0.11664589
       -9.07907908       65.86358937        1.05503129       61.44574531        2.71700846        0.53714444        0.10865987
       -9.05905906       61.24851642        0.94889813       57.13379420        2.56669715        0.49937339        0.09975354
       -9.03903904       56.36469338        0.84516558       52.55297191        2.41685074        0.45918461        0.09052054
       -9.01901902       51.50564435        0.74668253       47.98078582        2.27679223        0.41985626        0.08152751
       -8.99899900       46.92593407        0.65582608       43.65937024        2.15332050        0.38415799        0.07325926
       -8.97897898       42.82117279        0.57461026       39.77601098        2.05038371        0.35409027        0.06607758
       -8.95895896       39.31630611        0.50468785       36.45158847        1.96908309        0.33074930        0.06019740
       -8.93893894       36.46216968        0.44722117       33.73701552        1.90793452        0.31431728        0.05568120
       -8.91891892       34.23956781        0.40266671       31.61697370        1.86331543        0.30416166        0.05245031
       -8.89889890       32.56973242        0.37056756       30.01979914        1.83003907        0.29901643        0.05031022
       -8.87887888       31.32975470        0.34945687       28.83208342        1.80201489        0.29721375        0.04898577
       -8.85885886       30.37133980        0.33694554       27.91633447        1.77296418        0.29693382        0.04816180
       -8.83883884       29.54099892        0.33000967       27.12986181        1.73715905        0.29644401        0.04752437
       -8.81881882       28.69961749        0.32542950       26.34294617        1.69013958        0.29430397        0.04679827
       -8.79879880       27.73930089        0.32028377       25.45437835        1.62934151        0.28952016        0.04577711
       -8.77877878       26.59557246        0.31238520       24.40265701        1.55454701        0.28163987        0.04434337
       -8.75875876       25.25343754        0.30055903       23.17155580        1.46806577        0.27078007        0.04247687
       -8.73873874       23.74655141        0.28471020       21.78942313        1.37457595        0.25759089        0.04025123
       -8.71871872       22.14969338        0.26568061       20.32242826        1.28060713        0.24315834        0.03781904
       -8.69869870       20.56581759        0.24495009       18.86290375        1.19372022        0.22885579        0.03538775
       -8.67867868       19.10989270        0.22426744       17.51476401        1.12151161        0.21616070        0.03318894
       -8.65865866       17.89229794        0.20530447       16.37847386        1.07061551        0.20645888        0.03144521
       -8.63863864       17.00451125        0.18940685       15.53802041        1.04588277        0.20086261        0.03033862
       -8.61861862       16.50916622        0.17747929       15.05176263        1.04987091        0.20006823        0.02998517
       -8.59859860       16.43542945        0.17000060       14.94803320        1.08270349        0.20427350        0.03041867
       -8.57857858       16.77938117        0.16712888       15.22523251        1.14226864        0.21316486        0.03158628
       -8.55855856       17.50805082        0.16883753       15.85522822        1.22465540        0.22597335        0.03335632
       -8.53853854       18.56526636        0.17502262       16.78842872        1.32469092        0.24158682        0.03553727
       -8.51851852       19.87763780        0.18554027       17.95904279        1.43645105        0.25869853        0.03790517
       -8.49849850       21.35970122        0.20016403       19.28967062        1.55366320        0.27596796        0.04023541
