# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -5.999441 eV
#    Energy (eV)      DOS 
     -4.00055939    199.86811277
     -3.98053937    207.86072195
     -3.96051935    213.64220201
     -3.94049933    216.92273186
     -3.92047931    217.53186622
     -3.90045929    215.44486341
     -3.88043927    210.79176163
     -3.86041925    203.84614723
     -3.84039923    194.99536760
     -3.82037921    184.69828744
     -3.80035919    173.43918926
     -3.78033917    161.68640231
     -3.76031915    149.86195749
     -3.74029913    138.32500875
     -3.72027911    127.36821696
     -3.70025909    117.22380820
     -3.68023907    108.07505872
     -3.66021905    100.06934911
     -3.64019903     93.33008158
     -3.62017901     87.96599910
     -3.60015899     84.07733448
     -3.58013897     81.75864535
     -3.56011895     81.09832319
     -3.54009893     82.17485383
     -3.52007891     85.05009131
     -3.50005889     89.76003382
     -3.48003887     96.30368848
     -3.46001885    104.63047876
     -3.43999883    114.62642694
     -3.41997881    126.09942225
     -3.39995879    138.76468868
     -3.37993877    152.23319672
     -3.35991875    166.00772453
     -3.33989873    179.49250060
     -3.31987871    192.02164834
     -3.29985869    202.90832843
     -3.27983867    211.51096549
     -3.25981865    217.30687038
     -3.23979863    219.95921417
     -3.21977861    219.36266089
     -3.19975859    215.65676419
     -3.17973857    209.20353520
     -3.15971855    200.53408024
     -3.13969853    190.27613006
     -3.11967851    179.07754066
     -3.09965849    167.53976535
     -3.07963847    156.17074656
     -3.05961845    145.36054838
     -3.03959843    135.37743462
     -3.01957841    126.37851284
     -2.99955839    118.42805805
     -2.97953837    111.51780536
     -2.95951835    105.58585657
     -2.93949833    100.53324261
     -2.91947831     96.23873822
     -2.89945829     92.57286408
     -2.87943827     89.41131120
     -2.85941825     86.64687688
     -2.83939823     84.19814741
     -2.81937821     82.01315275
     -2.79935819     80.06718439
     -2.77933817     78.35555361
     -2.75931815     76.88360334
     -2.73929813     75.65709295
     -2.71927811     74.67578486
     -2.69925809     73.93177125
     -2.67923807     73.41229387
     -2.65921805     73.10520362
     -2.63919803     73.00434345
     -2.61917801     73.11227515
     -2.59915799     73.43880372
     -2.57913797     73.99530411
     -2.55911795     74.78641359
     -2.53909793     75.80173416
     -2.51907791     77.01045385
     -2.49905789     78.36113716
     -2.47903787     79.78751862
     -2.45901785     81.21937197
     -2.43899783     82.59597646
     -2.41897781     83.87888267
     -2.39895779     85.06088791
     -2.37893777     86.16930750
     -2.35891775     87.26336634
     -2.33889773     88.42723138
     -2.31887771     89.76128828
     -2.29885769     91.37440704
     -2.27883767     93.37914697
     -2.25881765     95.89041738
     -2.23879763     99.02648496
     -2.21877761    102.90984919
     -2.19875759    107.66475535
     -2.17873757    113.40822704
