#  aims_uuid : 801F5DB6-E91F-4837-A2B7-C77DE77A6E67                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -5.999441 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.00055939       31.22574296        2.47917881        4.99332985       23.33649008        0.35889217        0.05785205
       -3.98053937       32.34168408        2.85171985        5.32011305       23.72336828        0.38579928        0.06068362
       -3.96051935       33.19411534        3.20943330        5.58562834       23.92377421        0.41234721        0.06293228
       -3.94049933       33.72706456        3.53157790        5.76928250       23.92474203        0.43698779        0.06447435
       -3.92047931       33.89465171        3.79823840        5.85537956       23.71756920        0.45825372        0.06521084
       -3.90045929       33.67043054        3.99268987        5.83536637       23.30233184        0.47495809        0.06508435
       -3.88043927       33.05407043        4.10345371        5.70899194       22.69119863        0.48633413        0.06409202
       -3.86041925       32.07369504        4.12567454        5.48420445       21.90943632        0.49208873        0.06229100
       -3.84039923       30.78334005        4.06157572        5.17589636       20.99370696        0.49236578        0.05979521
       -3.82037921       29.25616663        3.91993150        4.80383034       19.98800415        0.48763679        0.05676384
       -3.80035919       27.57495866        3.71468013        4.39019029       18.93815272        0.47855195        0.05338357
       -3.78033917       25.82188376        3.46295230        3.95719573       17.88609622        0.46579166        0.04984785
       -3.76031915       24.06950072        3.18287358        3.52512575       16.86520917        0.44995547        0.04633676
       -3.74029913       22.37462616        2.89150764        3.11096361       15.89764016        0.43151387        0.04300088
       -3.72027911       20.77603235        2.60324507        2.72773269       14.99427083        0.41083196        0.03995181
       -3.70025909       19.29614146        2.32882999        2.38447224       14.15732463        0.38825382        0.03726077
       -3.68023907       17.94603533        2.07508026        2.08670930       13.38506064        0.36421977        0.03496536
       -3.66021905       16.73237472        1.84522540        1.83722611       12.67746366        0.33937700        0.03308256
       -3.64019903       15.66440218        1.63968537        1.63690727       12.04154070        0.31464361        0.03162523
       -3.62017901       14.75923099        1.45706095        1.48547957       11.49487557        0.29119663        0.03061827
       -3.60015899       14.04412964        1.29510932        1.38202485       11.06650904        0.27037532        0.03011112
       -3.58013897       13.55537306        1.15152908        1.32523661       10.79490766        0.25351553        0.03018419
       -3.56011895       13.33418821        1.02445934        1.31347418       10.72355370        0.24175250        0.03094850
