#  aims_uuid : 801F5DB6-E91F-4837-A2B7-C77DE77A6E67                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       31.22574296        2.47917881        4.99332985       23.33649008        0.35889217        0.05785205
       -9.97997998       32.34168408        2.85171985        5.32011305       23.72336828        0.38579928        0.06068362
       -9.95995996       33.19411534        3.20943330        5.58562834       23.92377421        0.41234721        0.06293228
       -9.93993994       33.72706456        3.53157790        5.76928250       23.92474203        0.43698779        0.06447435
       -9.91991992       33.89465171        3.79823840        5.85537956       23.71756920        0.45825372        0.06521084
       -9.89989990       33.67043054        3.99268987        5.83536637       23.30233184        0.47495809        0.06508435
       -9.87987988       33.05407043        4.10345371        5.70899194       22.69119863        0.48633413        0.06409202
       -9.85985986       32.07369504        4.12567454        5.48420445       21.90943632        0.49208873        0.06229100
       -9.83983984       30.78334005        4.06157572        5.17589636       20.99370696        0.49236578        0.05979521
       -9.81981982       29.25616663        3.91993150        4.80383034       19.98800415        0.48763679        0.05676384
       -9.79979980       27.57495866        3.71468013        4.39019029       18.93815272        0.47855195        0.05338357
       -9.77977978       25.82188376        3.46295230        3.95719573       17.88609622        0.46579166        0.04984785
       -9.75975976       24.06950072        3.18287358        3.52512575       16.86520917        0.44995547        0.04633676
       -9.73973974       22.37462616        2.89150764        3.11096361       15.89764016        0.43151387        0.04300088
       -9.71971972       20.77603235        2.60324507        2.72773269       14.99427083        0.41083196        0.03995181
       -9.69969970       19.29614146        2.32882999        2.38447224       14.15732463        0.38825382        0.03726077
       -9.67967968       17.94603533        2.07508026        2.08670930       13.38506064        0.36421977        0.03496536
       -9.65965966       16.73237472        1.84522540        1.83722611       12.67746366        0.33937700        0.03308256
       -9.63963964       15.66440218        1.63968537        1.63690727       12.04154070        0.31464361        0.03162523
       -9.61961962       14.75923099        1.45706095        1.48547957       11.49487557        0.29119663        0.03061827
       -9.59959960       14.04412964        1.29510932        1.38202485       11.06650904        0.27037532        0.03011112
       -9.57957958       13.55537306        1.15152908        1.32523661       10.79490766        0.25351553        0.03018419
       -9.55955956       13.33418821        1.02445934        1.31347418       10.72355370        0.24175250        0.03094850
       -9.53953954       13.42106821        0.91268152        1.34471899       10.89528774        0.23584075        0.03253920
       -9.51951952       13.85002250        0.81557845        1.41653599       11.34676626        0.23603714        0.03510465
       -9.49949950       14.64409109        0.73293924        1.52609453       12.10418740        0.24207703        0.03879289
       -9.47947948       15.81278290        0.66469925        1.67023162       13.18086671        0.25324864        0.04373668
       -9.45945946       17.35126383        0.61068366        1.84548140       14.57651722        0.26854400        0.05003755
       -9.43943944       19.24043469        0.57039436        2.04798066       16.27746653        0.28684496        0.05774818
       -9.41941942       21.44677270        0.54285815        2.27320351       18.25676396        0.30709405        0.06685303
       -9.39939940       23.92108278        0.52654334        2.51556491       20.47332030        0.32840665        0.07724758
       -9.37937938       26.59604584        0.51935168        2.76802621       22.86984997        0.35009922        0.08871877
       -9.35935936       29.38340469        0.51869369        3.02189311       25.37025237        0.37163475        0.10093077
       -9.33933934       32.17243058        0.52165192        3.26698370       27.87786125        0.39251160        0.11342211
       -9.31931932       34.83161231        0.52522346        3.49225590       30.27637381        0.41213943        0.12561971
       -9.29929930       37.21509596        0.52661387        3.68684395       32.43501468        0.42974998        0.13687348
       -9.27927928       39.17430864        0.52353515        3.84131069       34.21857164        0.44437991        0.14651126
       -9.25925926       40.57371288        0.51445137        3.94882925       35.50158182        0.45494188        0.15390856
       -9.23923924       41.30822188        0.49872057        4.00600236       36.18456180        0.46037399        0.15856316
       -9.21921922       41.31893936        0.47660324        4.01311507       36.20922478        0.45983473        0.16016152
       -9.19919920       40.60388474        0.44913851        3.97376945       35.56945508        0.45289729        0.15862440
       -9.17917918       39.22125805        0.41791997        3.89401410       34.31550587        0.43969571        0.15412239
       -9.15915916       37.28432523        0.38482319        3.78120240       32.55025514        0.42098647        0.14705803
       -9.13913914       34.94871296        0.35174030        3.64285419       30.41799291        0.39810810        0.13801746
       -9.11911912       32.39432149        0.32036398        3.48575211       28.08766139        0.37284365        0.12770036
