#  aims_uuid : 801F5DB6-E91F-4837-A2B7-C77DE77A6E67                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -5.999441 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.00055939        0.42075472        0.00541383        0.41025357        0.00475957        0.00029601        0.00003174
       -3.98053937        0.37386916        0.00478264        0.36452761        0.00421801        0.00030504        0.00003586
       -3.96051935        0.33185031        0.00423116        0.32355076        0.00371703        0.00031160        0.00003977
       -3.94049933        0.29538877        0.00373688        0.28802443        0.00326902        0.00031518        0.00004326
       -3.92047931        0.26490528        0.00329085        0.25837157        0.00288119        0.00031548        0.00004617
       -3.90045929        0.24046011        0.00289198        0.23465218        0.00255509        0.00031242        0.00004843
       -3.88043927        0.22176333        0.00254266        0.21657701        0.00228740        0.00030620        0.00005004
       -3.86041925        0.20825817        0.00224594        0.20359215        0.00207175        0.00029727        0.00005106
       -3.84039923        0.19923637        0.00200393        0.19499402        0.00190062        0.00028621        0.00005159
       -3.82037921        0.19394728        0.00181682        0.19003802        0.00176695        0.00027371        0.00005177
       -3.80035919        0.19167637        0.00168224        0.18801700        0.00166500        0.00026042        0.00005171
       -3.78033917        0.19178641        0.00159475        0.18830286        0.00159037        0.00024689        0.00005153
       -3.76031915        0.19372891        0.00154586        0.19035868        0.00153951        0.00023354        0.00005132
       -3.74029913        0.19704187        0.00152476        0.19373648        0.00150884        0.00022066        0.00005114
       -3.72027911        0.20134874        0.00152019        0.19807496        0.00149409        0.00020846        0.00005105
       -3.70025909        0.20636640        0.00152306        0.20310506        0.00149005        0.00019710        0.00005112
       -3.68023907        0.21191874        0.00152945        0.20866035        0.00149075        0.00018681        0.00005139
       -3.66021905        0.21794376        0.00154303        0.21468080        0.00149014        0.00017786        0.00005194
       -3.64019903        0.22447853        0.00157613        0.22119603        0.00148293        0.00017063        0.00005281
       -3.62017901        0.23161271        0.00164878        0.22827893        0.00146534        0.00016559        0.00005407
       -3.60015899        0.23941325        0.00178585        0.23597293        0.00143552        0.00016323        0.00005572
       -3.58013897        0.24783778        0.00201243        0.24421013        0.00139346        0.00016400        0.00005775
       -3.56011895        0.25666440        0.00234873        0.25274669        0.00134068        0.00016821        0.00006008
       -3.54009893        0.26546577        0.00280525        0.26114246        0.00127952        0.00017597        0.00006256
       -3.52007891        0.27364455        0.00337947        0.26880028        0.00121260        0.00018718        0.00006502
       -3.50005889        0.28052773        0.00405464        0.27506193        0.00114240        0.00020150        0.00006726
       -3.48003887        0.28549718        0.00480091        0.27933756        0.00107112        0.00021849        0.00006909
       -3.46001885        0.28811983        0.00557857        0.28123253        0.00100071        0.00023764        0.00007038
       -3.43999883        0.28823936        0.00634260        0.28063423        0.00093299        0.00025848        0.00007106
       -3.41997881        0.28600244        0.00704779        0.27773310        0.00086975        0.00028066        0.00007113
       -3.39995879        0.28181284        0.00765341        0.27297213        0.00081268        0.00030396        0.00007066
       -3.37993877        0.27622840        0.00812692        0.26694036        0.00076318        0.00032817        0.00006977
       -3.35991875        0.26983158        0.00844616        0.26024161        0.00072217        0.00035305        0.00006858
       -3.33989873        0.26310968        0.00860023        0.25337413        0.00068993        0.00037819        0.00006719
       -3.31987871        0.25637402        0.00858906        0.24665032        0.00066611        0.00040286        0.00006566
       -3.29985869        0.24973354        0.00842215        0.24017148        0.00064988        0.00042603        0.00006400
       -3.27983867        0.24312078        0.00811676        0.23385522        0.00064033        0.00044633        0.00006214
       -3.25981865        0.23635469        0.00769575        0.22749995        0.00063670        0.00046226        0.00006002
       -3.23979863        0.22921767        0.00718534        0.22086364        0.00063877        0.00047236        0.00005756
       -3.21977861        0.22152507        0.00661285        0.21373516        0.00064693        0.00047544        0.00005467
       -3.19975859        0.21317221        0.00600458        0.20598322        0.00066222        0.00047084        0.00005135
       -3.17973857        0.20415352        0.00538410        0.19757710        0.00068613        0.00045857        0.00004762
