#  aims_uuid : 801F5DB6-E91F-4837-A2B7-C77DE77A6E67                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       64.76924910        5.33199674       55.46254373        3.53215316        0.40304872        0.03950674
       -9.97997998       68.01818146        5.62882946       58.23895126        3.68755518        0.42017328        0.04267228
       -9.95995996       70.68529506        5.86377953       60.53921794        3.80259027        0.43382797        0.04587935
       -9.93993994       72.59750374        6.02410223       62.21124649        3.86990361        0.44333076        0.04892065
       -9.91991992       73.61495158        6.09980046       63.13142201        3.88404324        0.44809472        0.05159115
       -9.89989990       73.65359871        6.08509627       63.22462388        3.84242384        0.44773601        0.05371871
       -9.87987988       72.69941729        5.97947377       62.47664358        3.74595051        0.44216173        0.05518771
       -9.85985986       70.81119109        5.78806317       60.93639906        3.59916158        0.43161611        0.05595117
       -9.83983984       68.11170404        5.52127633       58.70786310        3.40986142        0.41667398        0.05602920
       -9.81981982       64.76967192        5.19375016       55.93392543        3.18831836        0.39818260        0.05549538
       -9.79979980       60.97650327        4.82277507       52.77593368        2.94617555        0.37716340        0.05445556
       -9.77977978       56.92263262        4.42646768       49.39319037        2.69525753        0.35469246        0.05302459
       -9.75975976       52.77782182        4.02198337       45.92629310        2.44645691        0.33178148        0.05130696
       -9.73973974       48.67869666        3.62405360       42.48711463        2.20886202        0.30928087        0.04938554
       -9.71971972       44.72513354        3.24406911       39.15668072        1.98924144        0.28782184        0.04732042
       -9.69969970       40.98519490        2.88981861       35.99047400        1.79193832        0.26780672        0.04515726
       -9.67967968       37.50644818        2.56584916       33.02905955        1.61915125        0.24944590        0.04294232
       -9.65965966       34.33008095        2.27427446       30.31073422        1.47150331        0.23282951        0.04073945
       -9.63963964       31.50364249        2.01576208       27.88247858        1.34874434        0.21801311        0.03864438
       -9.61961962       29.08874879        1.79041330       25.80603517        1.25041369        0.20509480        0.03679183
       -9.59959960       27.16162664        1.59831759       24.15737289        1.17631814        0.19426483        0.03535319
       -9.57957958       25.80652794        1.43969385       23.01974459        1.12674596        0.18581917        0.03452438
       -9.55955956       25.10414827        1.31467527       22.47240584        1.10242056        0.18014043        0.03450616
       -9.53953954       25.11855067        1.22290356       22.57824007        1.10426686        0.17765946        0.03548073
       -9.51951952       25.88628569        1.16313415       23.37364969        1.13309848        0.17881429        0.03758906
       -9.49949950       27.41038469        1.13301374       24.86311375        1.18932441        0.18401974        0.04091305
       -9.47947948       29.66007770        1.12909826       27.01913471        1.27272918        0.19365044        0.04546511
       -9.45945946       32.57511076        1.14707661       29.78649373        1.38232518        0.20802946        0.05118577
       -9.43943944       36.07210552        1.18209484       33.08842337        1.51623335        0.22740600        0.05794796
       -9.41941942       40.05000319        1.22906083       36.83192974        1.67154182        0.25190565        0.06556515
       -9.39939940       44.39239026        1.28284966       40.91017278        1.84412231        0.28144516        0.07380035
       -9.37937938       48.96614100        1.33840000       45.20130772        2.02844090        0.31561873        0.08237365
       -9.35935936       53.61774494        1.39075751       49.56498366        2.21745530        0.35358063        0.09096784
       -9.33933934       58.17021469        1.43515208       53.83914943        2.40271789        0.39396141        0.09923388
       -9.31931932       62.42399958        1.46717900       57.84038005        2.57478366        0.43485764        0.10679924
       -9.29929930       66.16460060        1.48309917       61.37034184        2.72395189        0.47392467        0.11328303
       -9.27927928       69.17775671        1.48020485       64.22938055        2.84127180        0.50857963        0.11831988
       -9.25925926       71.27071400        1.45714836       66.23603352        2.91964632        0.53629365        0.12159215
