# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -10.00000000    215.57142600
     -9.97997998    219.89466767
     -9.95995996    221.37015723
     -9.93993994    219.92084097
     -9.91991992    215.64809710
     -9.89989990    208.82535230
     -9.87987988    199.86818749
     -9.85985986    189.28742991
     -9.83983984    177.63504795
     -9.81981982    165.45308625
     -9.79979980    153.23359704
     -9.77977978    141.39362351
     -9.75975976    130.26524406
     -9.73973974    120.09775129
     -9.71971972    111.06780547
     -9.69969970    103.29369598
     -9.67967968     96.85095645
     -9.65965966     91.78770053
     -9.63963964     88.13864804
     -9.61961962     85.93683701
     -9.59959960     85.22178554
     -9.57957958     86.04281380
     -9.55955956     88.45661851
     -9.53953954     92.51894419
     -9.51951952     98.27099527
     -9.49949950    105.72174920
     -9.47947948    114.82748444
     -9.45945946    125.46990941
     -9.43943944    137.43475005
     -9.41941942    150.39383357
     -9.39939940    163.89536599
     -9.37937938    177.36836828
     -9.35935936    190.14690866
     -9.33933934    201.51695461
     -9.31931932    210.78344365
     -9.29929930    217.34885195
     -9.27927928    220.78933137
     -9.25925926    220.91260496
     -9.23923924    217.78446144
     -9.21921922    211.71741843
     -9.19919920    203.22390361
     -9.17917918    192.94432157
     -9.15915916    181.56516505
     -9.13913914    169.74270634
     -9.11911912    158.04419232
     -9.09909910    146.91254800
     -9.07907908    136.65450630
     -9.05905906    127.44757912
     -9.03903904    119.35920425
     -9.01901902    112.37159595
     -8.99899900    106.40745670
     -8.97897898    101.35372811
     -8.95895896     97.08213517
     -8.93893894     93.46604067
     -8.91891892     90.39319447
     -8.89889890     87.77377331
     -8.87887888     85.54315737
     -8.85885886     83.65945824
     -8.83883884     82.09682548
     -8.81881882     80.83661730
     -8.79879880     79.85911149
     -8.77877878     79.13819918
     -8.75875876     78.64044045
     -8.73873874     78.32833590
     -8.71871872     78.16625553
     -8.69869870     78.12667978
     -8.67867868     78.19448530
     -8.65865866     78.36783163
     -8.63863864     78.65539756
     -8.61861862     79.07082905
     -8.59859860     79.62596457
     -8.57857858     80.32458188
     -8.55855856     81.15814381
     -8.53853854     82.10449118
     -8.51851852     83.12981520
     -8.49849850     84.19364731
     -8.47847848     85.25607875
     -8.45845846     86.28599707
     -8.43843844     87.26886879
     -8.41841842     88.21260731
     -8.39839840     89.15042848
     -8.37837838     90.14030230
     -8.35835836     91.26150135
     -8.33833834     92.60953440
     -8.31831832     94.29111007
     -8.29829830     96.42047164
     -8.27827828     99.11747224
     -8.25825826    102.50638052
     -8.23823824    106.71309748
     -8.21821822    111.85778249
     -8.19819820    118.04028909
     -8.17817818    125.31748667
     -8.15815816    133.67429304
     -8.13813814    142.99344081
     -8.11811812    153.03168468
     -8.09809810    163.41123939
     -8.07807808    173.63386080
     -8.05805806    183.12090283
     -8.03803804    191.27655964
     -8.01801802    197.56488855
     -7.99799800    201.58615431
     -7.97797798    203.13639247
     -7.95795796    202.23676817
     -7.93793794    199.12582833
     -7.91791792    194.21632199
     -7.89789790    188.02639928
     -7.87787788    181.10036127
     -7.85785786    173.93533547
     -7.83783784    166.92724792
     -7.81781782    160.34345406
     -7.79779780    154.32233231
     -7.77777778    148.89408307
     -7.75775776    144.01342569
     -7.73773774    139.59443262
     -7.71771772    135.53995595
     -7.69769770    131.76179036
     -7.67767768    128.19139817
     -7.65765766    124.78348921
     -7.63763764    121.51548772
     -7.61761762    118.38521035
     -7.59759760    115.40775699
     -7.57757758    112.61159011
     -7.55755756    110.03357974
     -7.53753754    107.71335568
     -7.51751752    105.68808765
     -7.49749750    103.98914537
     -7.47747748    102.64159660
     -7.45745746    101.66631445
     -7.43743744    101.08315482
     -7.41741742    100.91292875
     -7.39739740    101.17617845
     -7.37737738    101.88802477
     -7.35735736    103.05006026
     -7.33733734    104.64166851
     -7.31731732    106.61365061
     -7.29729730    108.88645423
     -7.27727728    111.35394309
     -7.25725726    113.89213579
     -7.23723724    116.37129131
     -7.21721722    118.66941931
     -7.19719720    120.68561317
     -7.17717718    122.35210064
     -7.15715716    123.64410800
     -7.13713714    124.58633594
     -7.11711712    125.25426030
     -7.09709710    125.76814589
     -7.07707708    126.27819934
     -7.05705706    126.94099036
     -7.03703704    127.88988937
     -7.01701702    129.20498315
     -6.99699700    130.88961852
     -6.97697698    132.86042369
     -6.95695696    134.95503323
     -6.93693694    136.95733770
     -6.91691692    138.63521274
     -6.89689690    139.78199262
     -6.87687688    140.25177122
     -6.85685686    139.98041498
     -6.83683684    138.98836764
     -6.81681682    137.36647409
     -6.79679680    135.25041468
     -6.77677678    132.79156077
     -6.75675676    130.13164319
     -6.73673674    127.38606170
     -6.71671672    124.63715594
     -6.69669670    121.93566760
     -6.67667668    119.30691902
     -6.65665666    116.75817449
     -6.63663664    114.28480839
     -6.61661662    111.87448145
     -6.59659660    109.50976977
     -6.57657658    107.17020510
     -6.55655656    104.83450318
     -6.53653654    102.48320333
     -6.51651652    100.10138859
     -6.49649650     97.68083655
     -6.47647648     95.22091180
     -6.45645646     92.72767581
     -6.43643644     90.21097261
     -6.41641642     87.67961296
     -6.39639640     85.13522360
     -6.37637638     82.56582238
     -6.35635636     79.94061261
     -6.33633634     77.20768151
     -6.31631632     74.29606134
     -6.29629630     71.12289175
     -6.27627628     67.60530204
     -6.25625626     63.67537041
     -6.23623624     59.29547212
     -6.21621622     54.47083707
     -6.19619620     49.25640369
     -6.17617618     43.75607373
     -6.15615616     38.11401507
     -6.13613614     32.49933959
     -6.11611612     27.08686921
     -6.09609610     22.03744411
     -6.07607608     17.48115997
     -6.05605606     13.50610823
     -6.03603604     10.15389346
     -6.01601602      7.42177707
     -5.99599600      5.27009974
     -5.97597598      3.63290936
     -5.95595596      2.42955212
     -5.93593594      1.57530069
     -5.91591592      0.98971913
     -5.89589590      0.60218736
     -5.87587588      0.35464632
     -5.85585586      0.20206387
     -5.83583584      0.11132899
     -5.81581582      0.05928744
     -5.79579580      0.03050504
     -5.77577578      0.01515882
     -5.75575576      0.00727253
     -5.73573574      0.00336731
     -5.71571572      0.00150425
     -5.69569570      0.00064814
     -5.67567568      0.00026928
     -5.65565566      0.00010785
     -5.63563564      0.00004163
     -5.61561562      0.00001548
     -5.59559560      0.00000555
     -5.57557558      0.00000191
     -5.55555556      0.00000064
     -5.53553554      0.00000020
     -5.51551552      0.00000006
     -5.49549550      0.00000002
     -5.47547548      0.00000001
     -5.45545546      0.00000000
     -5.43543544      0.00000000
     -5.41541542      0.00000000
     -5.39539540      0.00000000
     -5.37537538      0.00000000
     -5.35535536      0.00000000
     -5.33533534      0.00000000
     -5.31531532      0.00000000
     -5.29529530      0.00000000
     -5.27527528      0.00000000
     -5.25525526      0.00000000
     -5.23523524      0.00000000
     -5.21521522      0.00000000
     -5.19519520      0.00000000
     -5.17517518      0.00000000
     -5.15515516      0.00000000
     -5.13513514      0.00000000
     -5.11511512      0.00000000
     -5.09509510      0.00000000
     -5.07507508      0.00000000
     -5.05505506      0.00000000
     -5.03503504      0.00000000
     -5.01501502      0.00000000
     -4.99499499      0.00000000
     -4.97497497      0.00000001
     -4.95495495      0.00000004
     -4.93493493      0.00000013
     -4.91491491      0.00000042
     -4.89489489      0.00000126
     -4.87487487      0.00000364
     -4.85485485      0.00001014
     -4.83483483      0.00002717
     -4.81481481      0.00007012
     -4.79479479      0.00017431
     -4.77477477      0.00041748
     -4.75475475      0.00096354
     -4.73473473      0.00214346
     -4.71471471      0.00459716
     -4.69469469      0.00950861
     -4.67467467      0.01897319
     -4.65465465      0.03653616
     -4.63463463      0.06792872
     -4.61461461      0.12199809
     -4.59459459      0.21177852
     -4.57457457      0.35558911
     -4.55455455      0.57798734
     -4.53453453      0.91038365
     -4.51451451      1.39115726
     -4.49449449      2.06522190
     -4.47447447      2.98315327
     -4.45445445      4.20015204
     -4.43443443      5.77518997
     -4.41441441      7.77059417
     -4.39439439     10.25203785
     -4.37437437     13.28849802
     -4.35435435     16.95137945
     -4.33433433     21.31190670
     -4.31431431     26.43621335
     -4.29429429     32.37831107
     -4.27427427     39.17209012
     -4.25425425     46.82431154
     -4.23423423     55.31080250
     -4.21421421     64.57752305
     -4.19419419     74.54689003
     -4.17417417     85.12808216
     -4.15415415     96.22854853
     -4.13413413    107.76312094
     -4.11411411    119.65729828
     -4.09409409    131.84244018
     -4.07407407    144.24250872
     -4.05405405    156.75420391
     -4.03403403    169.22438893
     -4.01401401    181.43019780
     -3.99399399    193.06786458
     -3.97397397    203.75590221
     -3.95395395    213.05666840
     -3.93393393    220.51757047
     -3.91391391    225.72935786
     -3.89389389    228.39460408
     -3.87387387    228.39542216
     -3.85385385    225.84681854
     -3.83383383    221.12203144
     -3.81381381    214.83949327
     -3.79379379    207.80763922
     -3.77377377    200.93250276
     -3.75375375    195.10178826
     -3.73373373    191.06541290
     -3.71371371    189.33435441
     -3.69369369    190.11626526
     -3.67367367    193.29855798
     -3.65365365    198.47971321
     -3.63363363    205.04016058
     -3.61361361    212.23757561
     -3.59359359    219.30901947
     -3.57357357    225.56384178
     -3.55355355    230.45544407
     -3.53353353    233.62524444
     -3.51351351    234.91714533
     -3.49349349    234.36477000
     -3.47347347    232.15660227
     -3.45345345    228.58616098
     -3.43343343    223.99564701
     -3.41341341    218.72204055
     -3.39339339    213.05408956
     -3.37337337    207.20669429
     -3.35335335    201.31582343
     -3.33333333    195.45275218
     -3.31331331    189.65204358
     -3.29329329    183.94450211
     -3.27327327    178.38534192
     -3.25325325    173.06946354
     -3.23323323    168.12961736
     -3.21321321    163.71819081
     -3.19319319    159.97788264
     -3.17317317    157.00931272
     -3.15315315    154.84400853
     -3.13313313    153.42936937
     -3.11311311    152.62893379
     -3.09309309    152.23761603
     -3.07307307    152.00846035
     -3.05305305    151.68546695
     -3.03303303    151.03637802
     -3.01301301    149.87989710
     -2.99299299    148.10338172
     -2.97297297    145.66919885
     -2.95295295    142.61018254
     -2.93293293    139.01649066
     -2.91291291    135.01725561
     -2.89289289    130.76062694
     -2.87287287    126.39525621
     -2.85285285    122.05530628
     -2.83283283    117.85004034
     -2.81281281    113.85820176
