#  aims_uuid : E4FDCE63-F4B0-4388-A6F9-5C6054C546B5                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       33.57571791        3.23176869        5.62923497       24.24262350        0.40949333        0.06259742
       -9.97997998       34.26960587        3.58285479        5.84883052       24.33681187        0.43649456        0.06461413
       -9.95995996       34.56206144        3.87461968        5.96356352       24.19847196        0.45967893        0.06572735
       -9.93993994       34.42121982        4.08873672        5.96337406       23.82549405        0.47774699        0.06586800
       -9.91991992       33.84480019        4.21270208        5.84741293       23.22978491        0.48986908        0.06503119
       -9.89989990       32.86288297        4.24134269        5.62402276       22.43848739        0.49574807        0.06328205
       -9.87987988       31.53534052        4.17728829        5.30941538       21.49229939        0.49558591        0.06075155
       -9.85985986       29.94457562        4.03034896        4.92539507       20.44123699        0.48997152        0.05762307
       -9.83983984       28.18518004        3.81595181        4.49661740       19.33877510        0.47972335        0.05411239
       -9.81981982       26.35258627        3.55295288        4.04787962       18.23558306        0.46572640        0.05044431
       -9.79979980       24.53274363        3.26122155        3.60183863       17.17405382        0.44879998        0.04682967
       -9.77977978       22.79443616        2.95938715        3.17739693       16.18458451        0.42962168        0.04344590
       -9.75975976       21.18523909        2.66306032        2.78883721       15.28420000        0.40871784        0.04042372
       -9.73973974       19.73142726        2.38372227        2.44565653       14.47769267        0.38651416        0.03784163
       -9.71971972       18.44149208        2.12834549        2.15296521       13.76102618        0.36342628        0.03572891
       -9.69969970       17.31235830        1.89969132        1.91227213       13.12635770        0.33996051        0.03407664
       -9.67967968       16.33697861        1.69713764        1.72246832       12.56772558        0.31679195        0.03285511
       -9.65965966       15.51179157        1.51783124        1.58083635       12.08629592        0.29479308        0.03203498
       -9.63963964       14.84260888        1.35793551        1.48394776       11.69411913        0.27499804        0.03160844
       -9.61961962       14.34785721        1.21375689        1.42835787       11.41563087        0.25850471        0.03160687
       -9.59959960       14.05867219        1.08257818        1.41105719       11.28659100        0.24633431        0.03211151
       -9.57957958       14.01599692        0.96309609        1.42968280       11.35068224        0.23928056        0.03325523
       -9.55955956       14.26541093        0.85544231        1.48252065       11.65444843        0.23778508        0.03521446
       -9.53953954       14.85076018        0.76084532        1.56833972       12.24151241        0.24187031        0.03819242
       -9.51951952       15.80769015        0.68105115        1.68609432       13.14700229        0.25114706        0.04239534
       -9.49949950       17.15791672        0.61765310        1.83452366       14.39284172        0.26489388        0.04800435
       -9.47947948       18.90462017        0.57148032        2.01167901       15.98412907        0.28218626        0.05514551
       -9.45945946       21.02891226        0.54216601        2.21442524       17.90642181        0.30203887        0.06386032
       -9.43943944       23.48710911        0.52796772        2.43799350       20.12354769        0.32352136        0.07407884
       -9.41941942       26.20867413        0.52585628        2.67568986       22.57571363        0.34581615        0.08559820
       -9.39939940       29.09515205        0.53183935        2.91887483       25.17816155        0.36820659        0.09806973
       -9.37937938       32.02099816        0.54144734        3.15730217       27.82124147        0.39000784        0.11099935
       -9.35935936       34.83759394        0.55028960        3.37983909       30.37322586        0.41047374        0.12376565
       -9.33933934       37.38162255        0.55458509        3.57549576       32.68715884        0.42872387        0.13565899
       -9.31931932       39.48820912        0.55158371        3.73459674       34.61235687        0.44373027        0.14594153
       -9.29929930       41.00793975        0.53981740        3.84986543       36.00994802        0.45438566        0.15392324
       -9.27927928       41.82545180        0.51915199        3.91719065       36.77041689        0.45964832        0.15904394
       -9.25925926       41.87625510        0.49064576        3.93591033       36.83001803        0.45873335        0.16094762
