#  aims_uuid : E4FDCE63-F4B0-4388-A6F9-5C6054C546B5                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.423566 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.57643438        0.15389305        0.00256666        0.14855913        0.00230936        0.00039318        0.00006473
       -5.55641436        0.14617312        0.00256057        0.14104172        0.00214555        0.00036500        0.00006028
       -5.53639434        0.13956447        0.00253634        0.13464083        0.00199287        0.00033833        0.00005610
       -5.51637432        0.13449675        0.00250007        0.12977102        0.00185868        0.00031457        0.00005242
       -5.49635430        0.13126838        0.00245807        0.12671785        0.00174824        0.00029481        0.00004942
       -5.47633428        0.13005533        0.00241648        0.12564719        0.00166472        0.00027973        0.00004721
       -5.45631426        0.13095166        0.00238099        0.12664550        0.00160957        0.00026972        0.00004588
       -5.43629424        0.13402548        0.00235666        0.12977513        0.00158330        0.00026494        0.00004545
       -5.41627422        0.13936909        0.00234796        0.13512356        0.00158617        0.00026548        0.00004593
       -5.39625420        0.14712247        0.00235911        0.14282605        0.00161856        0.00027140        0.00004735
       -5.37623418        0.15745583        0.00239458        0.15304783        0.00168096        0.00028275        0.00004971
       -5.35621416        0.17050879        0.00245969        0.16592329        0.00177337        0.00029945        0.00005299
       -5.33619414        0.18629664        0.00256104        0.18146297        0.00189433        0.00032115        0.00005715
       -5.31617412        0.20460629        0.00270659        0.19945061        0.00203998        0.00034708        0.00006203
       -5.29615410        0.22491071        0.00290518        0.21935893        0.00220324        0.00037594        0.00006742
       -5.27613408        0.24632994        0.00316552        0.24031195        0.00237365        0.00040585        0.00007297
       -5.25611406        0.26765818        0.00349466        0.26111289        0.00253787        0.00043448        0.00007829
       -5.23609404        0.28746178        0.00389624        0.28034244        0.00268091        0.00045929        0.00008290
       -5.21607402        0.30423677        0.00436879        0.29651588        0.00278795        0.00047776        0.00008638
       -5.19605400        0.31659964        0.00490435        0.30827279        0.00284632        0.00048781        0.00008836
       -5.17603398        0.32347615        0.00548770        0.31456447        0.00284734        0.00048806        0.00008857
       -5.15601396        0.32425197        0.00609639        0.31480297        0.00278765        0.00047802        0.00008694
       -5.13599394        0.31885599        0.00670167        0.30894286        0.00266974        0.00045818        0.00008354
       -5.11597392        0.30776066        0.00727042        0.29748007        0.00250159        0.00042995        0.00007863
       -5.09595390        0.29190109        0.00776802        0.28136961        0.00229551        0.00039540        0.00007255
       -5.07593388        0.27253091        0.00816179        0.26188004        0.00206633        0.00035701        0.00006574
       -5.05591386        0.25104515        0.00842477        0.24041501        0.00182943        0.00031730        0.00005864
       -5.03589384        0.22880474        0.00853911        0.21833667        0.00159875        0.00027855        0.00005166
       -5.01587382        0.20699369        0.00849856        0.19682203        0.00138545        0.00024253        0.00004511
       -4.99585380        0.18652892        0.00830937        0.17677288        0.00119702        0.00021044        0.00003921
       -4.97583378        0.16802850        0.00798949        0.15878483        0.00103724        0.00018286        0.00003409
       -4.95581376        0.15183014        0.00756603        0.14316783        0.00090666        0.00015987        0.00002975
       -4.93579374        0.13804292        0.00707147        0.13000058        0.00080349        0.00014120        0.00002618
       -4.91577372        0.12661245        0.00653938        0.11919879        0.00072460        0.00012639        0.00002330
       -4.89575370        0.11738293        0.00600066        0.11057998        0.00066632        0.00011493        0.00002103
       -4.87573368        0.11014650        0.00548079        0.10391487        0.00062517        0.00010637        0.00001930
       -4.85571366        0.10467769        0.00499881        0.09896249        0.00059804        0.00010031        0.00001804
       -4.83569364        0.10075576        0.00456786        0.09549188        0.00058235        0.00009646        0.00001720
       -4.81567362        0.09817934        0.00419707        0.09329503        0.00057593        0.00009458        0.00001673
       -4.79565360        0.09677679        0.00389384        0.09219505        0.00057686        0.00009444        0.00001660
       -4.77563358        0.09641266        0.00366590        0.09205078        0.00058338        0.00009582        0.00001679
       -4.75561356        0.09698869        0.00352222        0.09275691        0.00059381        0.00009850        0.00001726
       -4.73559354        0.09843705        0.00347250        0.09423777        0.00060659        0.00010222        0.00001797
       -4.71557352        0.10070516        0.00352508        0.09643409        0.00062034        0.00010675        0.00001890
       -4.69555350        0.10373429        0.00368398        0.09928460        0.00063388        0.00011183        0.00002000
       -4.67553348        0.10743767        0.00394584        0.10270707        0.00064629        0.00011722        0.00002124
       -4.65551346        0.11168556        0.00429786        0.10658549        0.00065696        0.00012270        0.00002256
       -4.63549344        0.11630498        0.00471776        0.11076973        0.00066552        0.00012805        0.00002390
       -4.61547342        0.12109875        0.00517614        0.11509239        0.00067190        0.00013309        0.00002523
       -4.59545340        0.12588414        0.00564101        0.11940267        0.00067631        0.00013768        0.00002648
       -4.57543338        0.13054503        0.00608366        0.12361271        0.00067928        0.00014175        0.00002762
       -4.55541336        0.13508678        0.00648422        0.12774672        0.00068180        0.00014538        0.00002865
       -4.53539334        0.13967949        0.00683537        0.13198033        0.00068540        0.00014878        0.00002961
       -4.51537332        0.14467526        0.00714292        0.13665718        0.00069228        0.00015234        0.00003054
       -4.49535330        0.15058865        0.00742283        0.14227235        0.00070528        0.00015662        0.00003156
       -4.47533328        0.15803592        0.00769525        0.14941772        0.00072779        0.00016236        0.00003280
       -4.45531326        0.16763750        0.00797721        0.15869218        0.00076338        0.00017031        0.00003441
       -4.43529324        0.17989679        0.00827602        0.17058781        0.00081530        0.00018116        0.00003651
       -4.41527322        0.19507669        0.00858511        0.18537129        0.00088573        0.00019539        0.00003918
       -4.39525320        0.21309896        0.00888358        0.20298473        0.00097513        0.00021307        0.00004244
       -4.37523318        0.23349191        0.00913955        0.22299064        0.00108168        0.00023383        0.00004622
       -4.35521316        0.25540459        0.00931604        0.24458047        0.00120100        0.00025674        0.00005033
       -4.33519314        0.27769406        0.00937806        0.26665453        0.00132650        0.00028043        0.00005454
       -4.31517312        0.29907609        0.00929891        0.28796535        0.00145007        0.00030322        0.00005854
       -4.29515310        0.31831287        0.00906448        0.30729976        0.00156322        0.00032340        0.00006201
       -4.27513308        0.33440014        0.00867511        0.32366247        0.00165839        0.00033947        0.00006470
       -4.25511306        0.34671265        0.00814501        0.33642073        0.00173013        0.00035036        0.00006643
       -4.23509304        0.35507572        0.00750003        0.34537712        0.00177579        0.00035565        0.00006714
       -4.21507302        0.35974897        0.00677435        0.35075643        0.00179576        0.00035556        0.00006688
       -4.19505300        0.36133191        0.00600673        0.35311548        0.00179303        0.00035086        0.00006581
       -4.17503298        0.36062204        0.00523669        0.35320612        0.00177236        0.00034271        0.00006416
