#  aims_uuid : E4FDCE63-F4B0-4388-A6F9-5C6054C546B5                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       71.70802478        5.94684109       61.37344115        3.89627001        0.44474499        0.04672753
       -9.97997998       73.94997506        6.13121188       63.33281313        3.97983368        0.45606164        0.05005472
       -9.95995996       75.22246467        6.22539420       64.47555208        4.00636947        0.46218403        0.05296488
       -9.93993994       75.42799597        6.22258469       64.71475126        3.97270938        0.46268109        0.05526955
       -9.91991992       74.54717996        6.12182988       64.03149687        3.87955667        0.45745303        0.05684350
       -9.89989990       72.64252390        5.92848072       62.47793383        3.73168958        0.44678132        0.05763845
       -9.87987988       69.84943017        5.65379405       60.16904253        3.53759009        0.43132098        0.05768252
       -9.85985986       66.35684330        5.31375239       57.26541409        3.30857357        0.41203663        0.05706661
       -9.83983984       62.38189106        4.92731435       53.95097704        3.05758293        0.39009469        0.05592204
       -9.81981982       58.14355617        4.51439363       50.41018450        2.79785167        0.36673115        0.05439521
       -9.79979980       53.83997523        4.09389022       46.80870484        2.54163824        0.34311721        0.05262472
       -9.77977978       49.63272219        3.68206746       43.28048528        2.29920055        0.32024336        0.05072554
       -9.75975976       45.63978705        3.29149240       39.92254373        2.07812945        0.29883930        0.04878217
       -9.73973974       41.93723610        2.93064642       36.79729748        1.88310050        0.27934057        0.04685115
       -9.71971972       38.56798679        2.60418414       33.94088423        1.71604174        0.26190565        0.04497103
       -9.69969970       35.55495312        2.31369715       31.37494578        1.57665469        0.24647852        0.04317697
       -9.67967968       32.91520224        2.05875116       29.11887643        1.46317456        0.23288382        0.04151627
       -9.65965966       30.67183954        1.83793502       27.19968425        1.37322315        0.22093563        0.04006148
       -9.63963964       28.86111815        1.64969510       25.65736480        1.30460150        0.21053887        0.03891788
       -9.61961962       27.53358033        1.49281605       24.54488432        1.25589137        0.20176489        0.03822369
       -9.59959960       26.74955249        1.36652193       23.92321803        1.22678111        0.19488925        0.03814217
       -9.57957958       26.57062999        1.27027252       23.85303280        1.21808916        0.19038872        0.03884679
       -9.55955956       27.04955168        1.20339286       24.38523984        1.23151479        0.18890257        0.04050162
       -9.53953954       28.22089505        1.16468491       25.55261490        1.26918651        0.19116862        0.04324010
       -9.51951952       30.09435726        1.15213668       27.36403141        1.33309829        0.19794518        0.04714569
       -9.49949950       32.65127370        1.16278585       29.80180246        1.42452141        0.20992693        0.05223705
       -9.47947948       35.84385185        1.19273700       32.82153428        1.54346372        0.22765754        0.05845933
       -9.45945946       39.59578192        1.23729365       36.35314095        1.68822818        0.25143767        0.06568148
       -9.43943944       43.80274449        1.29115767       40.30155181        1.85510966        0.28122688        0.07369847
       -9.41941942       48.33196336        1.34866360       44.54625250        2.03826701        0.31654354        0.08223672
       -9.39939940       53.02115017        1.40404020       48.93995823        2.22981294        0.35637707        0.09096174
       -9.37937938       57.67849287        1.45170910       53.30799287        2.42016487        0.39913744        0.09948858
       -9.35935936       62.08616800        1.48662800       57.45078689        2.59868344        0.44267282        0.10739684
       -9.33933934       66.00972720        1.50466373       61.15184670        2.75458189        0.48438218        0.11425271
       -9.31931932       69.21446893        1.50294820       64.19242252        2.87802550        0.52143325        0.11963947
       -9.29929930       71.48784673        1.48014574       66.37216284        2.96127182        0.55107063        0.12319569
       -9.27927928       72.66474745        1.43655968       67.53290299        2.99965751        0.57097059        0.12465668
       -9.25925926       72.65089459        1.37403483       67.58115130        2.99223737        0.57957852        0.12389256
       -9.23923924       71.43930832        1.29566386       66.50441474        2.94193543        0.57635963        0.12093466
       -9.21921922       69.11586785        1.20535920       64.37745493        2.85516339        0.56190688        0.11598345
       -9.19919920       65.85224635        1.10738728       61.35661428        2.74097127        0.53787912        0.10939441
       -9.17917918       61.88713407        1.00596290       57.66286469        2.60988526        0.50677864        0.10164257
       -9.15915916       57.49895458        0.90496832       53.55647088        2.47263428        0.47161013        0.09327098
       -9.13913914       52.97464524        0.80780870       49.30755857        2.33896301        0.43548386        0.08483110
       -9.11911912       48.57932104        0.71736605       45.16721362        2.21668557        0.40123131        0.07682448
       -9.09909910       44.53093998        0.63598707       41.34313649        2.11107076        0.37109178        0.06965388
       -9.07907908       40.98281484        0.56544743       37.98268008        2.02458782        0.34650964        0.06358988
       -9.05905906       38.01536621        0.50686837       35.16468983        1.95699277        0.32805895        0.05875629
       -9.03903904       35.63716464        0.46060571       32.90023045        1.90570345        0.31549066        0.05513437
       -9.01901902       33.79420012        0.42616444       31.14117817        1.86639324        0.30788069        0.05258358
       -8.99899900       32.38548312        0.40220060       29.79483676        1.83372463        0.30384637        0.05087478
       -8.97897898       31.28253225        0.38665241       28.74221421        1.80214132        0.30179403        0.04973029
       -8.95895896       30.35005079        0.37700294       27.85738214        1.76663825        0.30016197        0.04886550
       -8.93893894       29.46515373        0.37063327       27.02543114        1.72343360        0.29762915        0.04802658
       -8.91891892       28.53286657        0.36519389       26.15690954        1.67047428        0.29326874        0.04702013
       -8.89889890       27.49623256        0.35891336       25.19723351        1.60771809        0.28663540        0.04573221
       -8.87887888       26.34015944        0.35077940       24.13030599        1.53715452        0.27778430        0.04413523
       -8.85885886       25.08901649        0.34056170       22.97639076        1.46255443        0.26722641        0.04228320
       -8.83883884       23.79885510        0.32868650       21.78506576        1.38897548        0.25583063        0.04029673
       -8.81881882       22.54585692        0.31600783       20.62472983        1.32209158        0.24468714        0.03834054
       -8.79879880       21.41309372        0.30353993       19.57055857        1.26744838        0.23495019        0.03659665
       -8.77877878       20.47780760        0.29221637       18.69291038        1.22976319        0.22768056        0.03523710
       -8.75875876       19.80114100        0.28272557       18.04792941        1.21237834        0.22370804        0.03439964
       -8.73873874       19.42160484        0.27544623       17.67151590        1.21694195        0.22353135        0.03416940
       -8.71871872       19.35271317        0.27047836       17.57706050        1.24333932        0.22726653        0.03456846
       -8.69869870       19.58434689        0.26774194       17.75655741        1.28984631        0.23464724        0.03555400
       -8.67867868       20.08675338        0.26710218       18.18411611        1.35343781        0.24507238        0.03702490
       -8.65865866       20.81579545        0.26847801       18.82062237        1.43016930        0.25769044        0.03883533
       -8.63863864       21.71817095        0.27189961       19.61839361        1.51555736        0.27150663        0.04081374
       -8.61861862       22.73575390        0.27749815       20.52506223        1.60491064        0.28549806        0.04278481
       -8.59859860       23.80879512        0.28543245       21.48645470        1.69359327        0.29872292        0.04459179
       -8.57857858       24.87827383        0.29577879       22.44873729        1.77723015        0.31041148        0.04611612
       -8.55855856       25.88804158        0.30842455       23.36041644        1.85187985        0.32002906        0.04729168
       -8.53853854       26.78744835        0.32300995       24.17481860        1.91420378        0.32730495        0.04811107
       -8.51851852       27.53486839        0.33895186       24.85341711        1.96165081        0.33222566        0.04862295
       -8.49849850       28.10202960        0.35555997       25.36989491        1.99265683        0.33499708        0.04892081
       -8.47847848       28.47844999        0.37222580       25.71428043        2.00683340        0.33598479        0.04912556
       -8.45845846       28.67481279        0.38863761       25.89606806        2.00509603        0.33564549        0.04936560
       -8.43843844       28.72397854        0.40495970       25.94512758        1.98967077        0.33446212        0.04975837
       -8.41841842       28.67867423        0.42191989       25.90953820        1.96392609        0.33289284        0.05039721
       -8.39839840       28.60569640        0.44077387       25.85022697        1.93201133        0.33133889        0.05134533
       -8.37837838       28.57751086        0.46315315       25.83325226        1.89833646        0.33013165        0.05263735
       -8.35835836       28.66307121        0.49084026       25.92142413        1.86698475        0.32953554        0.05428653
       -8.33833834       28.92012899        0.52553865       26.16734708        1.84118710        0.32976121        0.05629494
       -8.31831832       29.39102137        0.56870472       26.60968731        1.82298341        0.33098286        0.05866306
       -8.29829830       30.10290727        0.62148674       27.27352247        1.81314844        0.33335373        0.06139589
       -8.27827828       31.07197643        0.68477560       28.17430454        1.81137835        0.33701423        0.06450372
       -8.25825826       32.30976826        0.75933036       29.32370187        1.81665030        0.34208863        0.06799709
