#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.405020 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -5.59497971        0.00455180        0.00192798        0.00200022        0.00062360
       -5.57495969        0.00448179        0.00214508        0.00177567        0.00056104
       -5.55493967        0.00448317        0.00238246        0.00159588        0.00050483
       -5.53491965        0.00455556        0.00263742        0.00146163        0.00045650
       -5.51489963        0.00469474        0.00290631        0.00137141        0.00041702
       -5.49487961        0.00489283        0.00318451        0.00132167        0.00038665
       -5.47485959        0.00513867        0.00346640        0.00130720        0.00036506
       -5.45483957        0.00541877        0.00374554        0.00132180        0.00035142
       -5.43481955        0.00571881        0.00401527        0.00135897        0.00034458
       -5.41479953        0.00602591        0.00427004        0.00141255        0.00034332
       -5.39477951        0.00633137        0.00450752        0.00147733        0.00034652
       -5.37475949        0.00663347        0.00473082        0.00154941        0.00035324
       -5.35473947        0.00693931        0.00495024        0.00162629        0.00036278
       -5.33471945        0.00726497        0.00518355        0.00170677        0.00037465
       -5.31469943        0.00763305        0.00545402        0.00179060        0.00038844
       -5.29467941        0.00806764        0.00578594        0.00187797        0.00040373
       -5.27465939        0.00858744        0.00619841        0.00196900        0.00042003
       -5.25463937        0.00919855        0.00669861        0.00206323        0.00043671
       -5.23461935        0.00988872        0.00727648        0.00215926        0.00045297
       -5.21459933        0.01062503        0.00790260        0.00225451        0.00046791
       -5.19457931        0.01135601        0.00853024        0.00234522        0.00048054
       -5.17455929        0.01201814        0.00910169        0.00242659        0.00048986
       -5.15453927        0.01254561        0.00955744        0.00249325        0.00049491
       -5.13451925        0.01288116        0.00984635        0.00253994        0.00049486
       -5.11449923        0.01298577        0.00993429        0.00256239        0.00048910
       -5.09447921        0.01284501        0.00980944        0.00255825        0.00047733
       -5.07445919        0.01247103        0.00948340        0.00252791        0.00045972
       -5.05443917        0.01189996        0.00898820        0.00247483        0.00043693
       -5.03441915        0.01118571        0.00837029        0.00240533        0.00041010
       -5.01439913        0.01039148        0.00768304        0.00232767        0.00038077
       -4.99437911        0.00958081        0.00697938        0.00225073        0.00035070
       -4.97435909        0.00880958        0.00630560        0.00218238        0.00032159
       -4.95433907        0.00812003        0.00569708        0.00212805        0.00029490
       -4.93431905        0.00753752        0.00517607        0.00208982        0.00027164
       -4.91429903        0.00707004        0.00475153        0.00206621        0.00025230
       -4.89427901        0.00671013        0.00442054        0.00205270        0.00023689
       -4.87425899        0.00643889        0.00417104        0.00204284        0.00022501
