#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
      -10.00000000        0.00455180        0.00192798        0.00200022        0.00062360
       -9.97997998        0.00448179        0.00214508        0.00177567        0.00056104
       -9.95995996        0.00448317        0.00238246        0.00159588        0.00050483
       -9.93993994        0.00455556        0.00263742        0.00146163        0.00045650
       -9.91991992        0.00469474        0.00290631        0.00137141        0.00041702
       -9.89989990        0.00489283        0.00318451        0.00132167        0.00038665
       -9.87987988        0.00513867        0.00346640        0.00130720        0.00036506
       -9.85985986        0.00541877        0.00374554        0.00132180        0.00035142
       -9.83983984        0.00571881        0.00401527        0.00135897        0.00034458
       -9.81981982        0.00602591        0.00427004        0.00141255        0.00034332
       -9.79979980        0.00633137        0.00450752        0.00147733        0.00034652
       -9.77977978        0.00663347        0.00473082        0.00154941        0.00035324
       -9.75975976        0.00693931        0.00495024        0.00162629        0.00036278
       -9.73973974        0.00726497        0.00518355        0.00170677        0.00037465
       -9.71971972        0.00763305        0.00545402        0.00179060        0.00038844
       -9.69969970        0.00806764        0.00578594        0.00187797        0.00040373
       -9.67967968        0.00858744        0.00619841        0.00196900        0.00042003
       -9.65965966        0.00919855        0.00669861        0.00206323        0.00043671
       -9.63963964        0.00988872        0.00727648        0.00215926        0.00045297
       -9.61961962        0.01062503        0.00790260        0.00225451        0.00046791
       -9.59959960        0.01135601        0.00853024        0.00234522        0.00048054
       -9.57957958        0.01201814        0.00910169        0.00242659        0.00048986
       -9.55955956        0.01254561        0.00955744        0.00249325        0.00049491
       -9.53953954        0.01288116        0.00984635        0.00253994        0.00049486
       -9.51951952        0.01298577        0.00993429        0.00256239        0.00048910
       -9.49949950        0.01284501        0.00980944        0.00255825        0.00047733
       -9.47947948        0.01247103        0.00948340        0.00252791        0.00045972
       -9.45945946        0.01189996        0.00898820        0.00247483        0.00043693
       -9.43943944        0.01118571        0.00837029        0.00240533        0.00041010
       -9.41941942        0.01039148        0.00768304        0.00232767        0.00038077
       -9.39939940        0.00958081        0.00697938        0.00225073        0.00035070
       -9.37937938        0.00880958        0.00630560        0.00218238        0.00032159
       -9.35935936        0.00812003        0.00569708        0.00212805        0.00029490
       -9.33933934        0.00753752        0.00517607        0.00208982        0.00027164
       -9.31931932        0.00707004        0.00475153        0.00206621        0.00025230
       -9.29929930        0.00671013        0.00442054        0.00205270        0.00023689
       -9.27927928        0.00643889        0.00417104        0.00204284        0.00022501
       -9.25925926        0.00623104        0.00398544        0.00202961        0.00021599
       -9.23923924        0.00606060        0.00384476        0.00200674        0.00020911
       -9.21921922        0.00590608        0.00373269        0.00196973        0.00020366
