# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -10.00000000    186.50777484
     -9.97997998    196.86004012
     -9.95995996    205.47625659
     -9.93993994    211.97192405
     -9.91991992    216.02892209
     -9.89989990    217.43646962
     -9.87987988    216.12372378
     -9.85985986    212.17623146
     -9.83983984    205.83186832
     -9.81981982    197.45663148
     -9.79979980    187.50523327
     -9.77977978    176.47449748
     -9.75975976    164.85829229
     -9.73973974    153.11118101
     -9.71971972    141.62490693
     -9.69969970    130.71838905
     -9.67967968    120.63913145
     -9.65965966    111.57243402
     -9.63963964    103.65457250
     -9.61961962     96.98680553
     -9.59959960     91.64811222
     -9.57957958     87.70550709
     -9.55955956     85.22138927
     -9.53953954     84.25766238
     -9.51951952     84.87644038
     -9.49949950     87.13716977
     -9.47947948     91.09001860
     -9.45945946     96.76542119
     -9.43943944    104.15975789
     -9.41941942    113.21741677
     -9.39939940    123.81014187
     -9.37937938    135.71578674
     -9.35935936    148.60028450
     -9.33933934    162.00832253
     -9.31931932    175.36900721
     -9.29929930    188.02178338
     -9.27927928    199.26452471
     -9.25925926    208.42040584
     -9.23923924    214.91427769
     -9.21921922    218.34480802
     -9.19919920    218.53749701
     -9.17917918    215.56672528
     -9.15915916    209.74164228
     -9.13913914    201.55899627
     -9.11911912    191.63334776
     -9.09909910    180.61928120
     -9.07907908    169.14022001
     -9.05905906    157.73473130
     -9.03903904    146.82540535
     -9.01901902    136.70955288
     -8.99899900    127.56675803
     -8.97897898    119.47656650
     -8.95895896    112.44012129
     -8.93893894    106.40153064
     -8.91891892    101.26705146
     -8.89889890     96.92186597
     -8.87887888     93.24485729
     -8.85885886     90.12144968
     -8.83883884     87.45379473
     -8.81881882     85.16703317
     -8.79879880     83.21054022
     -8.77877878     81.55405206
     -8.75875876     80.17999645
     -8.73873874     79.07456376
     -8.71871872     78.22045563
     -8.69869870     77.59358564
     -8.67867868     77.16450136
     -8.65865866     76.90353598
     -8.63863864     76.78736068
     -8.61861862     76.80417155
     -8.59859860     76.95530637
     -8.57857858     77.25237743
     -8.55855856     77.71053759
     -8.53853854     78.33976929
     -8.51851852     79.13674421
     -8.49849850     80.07971066
     -8.47847848     81.12810015
     -8.45845846     82.22733917
     -8.43843844     83.31802827
     -8.41841842     84.34755132
     -8.39839840     85.28158483
     -8.37837838     86.11304604
     -8.35835836     86.86672223
     -8.33833834     87.59896060
     -8.31831832     88.39304237
     -8.29829830     89.35186704
     -8.27827828     90.59005903
     -8.25825826     92.22745047
     -8.23823824     94.38512130
     -8.21821822     97.18396763
     -8.19819820    100.74440663
     -8.17817818    105.18467242
     -8.15815816    110.61461140
     -8.13813814    117.12230756
     -8.11811812    124.75246630
     -8.09809810    133.47815956
     -8.07807808    143.17077168
     -8.05805806    153.57584897
     -8.03803804    164.30389236
     -8.01801802    174.84394643
     -7.99799800    184.60376762
     -7.97797798    192.97402081
     -7.95795796    199.40698253
     -7.93793794    203.49482893
     -7.91791792    205.03077359
     -7.89789790    204.03909650
     -7.87787788    200.76695938
     -7.85785786    195.63989603
     -7.83783784    189.19130654
     -7.81781782    181.98169546
     -7.79779780    174.52437555
     -7.77777778    167.23099359
     -7.75775776    160.38392180
     -7.73773774    154.13541699
     -7.71771772    148.52755658
     -7.69769770    143.52371884
     -7.67767768    139.04218177
     -7.65765766    134.98469914
     -7.63763764    131.25645842
     -7.61761762    127.77726583
     -7.59759760    124.48609416
     -7.57757758    121.34185120
     -7.55755756    118.32263112
     -7.53753754    115.42449285
     -7.51751752    112.65974337
     -7.49749750    110.05429020
     -7.47747748    107.64391153
     -7.45745746    105.46991974
     -7.43743744    103.57514900
     -7.41741742    102.00110973
     -7.39739740    100.78650135
     -7.37737738     99.96640004
     -7.35735736     99.57085724
     -7.33733734     99.62175827
     -7.31731732    100.12764904
     -7.29729730    101.07748533
     -7.27727728    102.43528524
     -7.25725726    104.13792715
     -7.23723724    106.09763098
     -7.21721722    108.20926240
     -7.19719720    110.36112105
     -7.17717718    112.44696950
     -7.15715716    114.37708424
     -7.13713714    116.08693680
     -7.11711712    117.54319890
     -7.09709710    118.74744488
     -7.07707708    119.73778335
     -7.05705706    120.58778434
     -7.03703704    121.40108436
     -7.01701702    122.29978077
     -6.99699700    123.40577099
     -6.97697698    124.81653234
     -6.95695696    126.57970901
     -6.93693694    128.67301047
     -6.91691692    130.99612083
     -6.89689690    133.37901781
     -6.87687688    135.60676760
     -6.85685686    137.45590131
     -6.83683684    138.73370144
     -6.81681682    139.31060348
     -6.79679680    139.13794133
     -6.77677678    138.24772306
     -6.75675676    136.73638911
     -6.73673674    134.73870891
     -6.71671672    132.39976175
     -6.69669670    129.85198946
     -6.67667668    127.20133223
     -6.65665666    124.52285204
     -6.63663664    121.86341370
     -6.61661662    119.24777330
     -6.59659660    116.68485312
     -6.57657658    114.17242673
     -6.55655656    111.70001614
     -6.53653654    109.25082575
     -6.51651652    106.80376150
     -6.49649650    104.33618734
     -6.47647648    101.82743330
     -6.45645646     99.26252037
     -6.43643644     96.63525826
     -6.41641642     93.94980177
     -6.39639640     91.21987656
     -6.37637638     88.46520647
     -6.35635636     85.70522095
     -6.33633634     82.95087057
     -6.31631632     80.19617654
     -6.29629630     77.41171276
     -6.27627628     74.54227631
     -6.25625626     71.51038334
     -6.23623624     68.22600138
     -6.21621622     64.60139058
     -6.19619620     60.56850253
     -6.17617618     56.09548683
     -6.15615616     51.19875257
     -6.13613614     45.94778044
     -6.11611612     40.46131621
     -6.09609610     34.89535854
     -6.07607608     29.42505647
     -6.05605606     24.22384550
     -6.03603604     19.44359001
     -6.01601602     15.19908443
     -5.99599600     11.55914079
     -5.97597598      8.54498372
     -5.95595596      6.13518761
     -5.93593594      4.27528154
     -5.91591592      2.88962285
     -5.89589590      1.89322126
     -5.87587588      1.20173918
     -5.85585586      0.73866891
     -5.83583584      0.43945741
     -5.81581582      0.25294151
     -5.79579580      0.14079250
     -5.77577578      0.07575726
     -5.75575576      0.03939056
     -5.73573574      0.01978469
     -5.71571572      0.00959597
     -5.69569570      0.00449295
     -5.67567568      0.00203014
     -5.65565566      0.00088500
     -5.63563564      0.00037211
     -5.61561562      0.00015087
     -5.59559560      0.00005897
     -5.57557558      0.00002221
     -5.55555556      0.00000806
     -5.53553554      0.00000282
     -5.51551552      0.00000095
     -5.49549550      0.00000031
     -5.47547548      0.00000010
     -5.45545546      0.00000003
     -5.43543544      0.00000001
     -5.41541542      0.00000000
     -5.39539540      0.00000000
     -5.37537538      0.00000000
     -5.35535536      0.00000000
     -5.33533534      0.00000000
     -5.31531532      0.00000000
     -5.29529530      0.00000000
     -5.27527528      0.00000000
     -5.25525526      0.00000000
     -5.23523524      0.00000000
     -5.21521522      0.00000000
     -5.19519520      0.00000000
     -5.17517518      0.00000000
     -5.15515516      0.00000000
     -5.13513514      0.00000000
     -5.11511512      0.00000000
     -5.09509510      0.00000000
     -5.07507508      0.00000000
     -5.05505506      0.00000001
     -5.03503504      0.00000002
     -5.01501502      0.00000007
     -4.99499499      0.00000023
     -4.97497497      0.00000073
     -4.95495495      0.00000222
     -4.93493493      0.00000655
     -4.91491491      0.00001851
     -4.89489489      0.00005027
     -4.87487487      0.00013121
     -4.85485485      0.00032903
     -4.83483483      0.00079278
     -4.81481481      0.00183536
     -4.79479479      0.00408278
     -4.77477477      0.00872705
     -4.75475475      0.01792565
     -4.73473473      0.03538355
     -4.71471471      0.06712398
     -4.69469469      0.12238955
     -4.67467467      0.21451360
     -4.65465465      0.36147701
     -4.63463463      0.58575688
     -4.61461461      0.91304763
     -4.59459459      1.36956352
     -4.57457457      1.97796521
     -4.55455455      2.75246807
     -4.53453453      3.69426491
     -4.51451451      4.78881059
     -4.49449449      6.00652381
     -4.47447447      7.30789347
     -4.45445445      8.65286346
     -4.43443443     10.01298885
     -4.41441441     11.38367779
     -4.39439439     12.79334562
     -4.37437437     14.30680038
     -4.35435435     16.02158359
     -4.33433433     18.05787078
     -4.31431431     20.54425468
     -4.29429429     23.60270448
     -4.27427427     27.33592884
     -4.25425425     31.81936883
     -4.23423423     37.09853444
     -4.21421421     43.19092258
     -4.19419419     50.09077474
     -4.17417417     57.77466664
     -4.15415415     66.20631304
     -4.13413413     75.33974257
     -4.11411411     85.12078160
     -4.09409409     95.48725990
     -4.07407407    106.36835672
     -4.05405405    117.68311937
     -4.03403403    129.33769115
     -4.01401401    141.22055828
     -3.99399399    153.19545952
     -3.97397397    165.09255052
     -3.95395395    176.69973183
     -3.93393393    187.75726956
     -3.91391391    197.95945391
     -3.89389389    206.96669241
     -3.87387387    214.43001969
     -3.85385385    220.02768338
     -3.83383383    223.51060012
     -3.81381381    224.75057086
     -3.79379379    223.78281423
     -3.77377377    220.83330628
     -3.75375375    216.32224515
     -3.73373373    210.83805438
     -3.71371371    205.08150915
     -3.69369369    199.78589924
     -3.67367367    195.62508259
     -3.65365365    193.12508382
     -3.63363363    192.59522144
     -3.61361361    194.09125834
     -3.59359359    197.41661004
     -3.57357357    202.15998965
     -3.55355355    207.76107785
     -3.53353353    213.59148667
     -3.51351351    219.03710544
     -3.49349349    223.56954063
     -3.47347347    226.79780550
     -3.45345345    228.49555737
     -3.43343343    228.60318289
     -3.41341341    227.20747638
     -3.39339339    224.50442320
     -3.37337337    220.75261639
     -3.35335335    216.22590274
     -3.33333333    211.17366006
     -3.31331331    205.79539647
     -3.29329329    200.23318503
     -3.27327327    194.58131081
     -3.25325325    188.90835171
     -3.23323323    183.28386639
     -3.21321321    177.80086460
     -3.19319319    172.58667331
     -3.17317317    167.79831621
     -3.15315315    163.60305491
     -3.13313313    160.14893397
     -3.11311311    157.53283703
     -3.09309309    155.77407197
     -3.07307307    154.79995766
     -3.05305305    154.44694738
     -3.03303303    154.47739254
     -3.01301301    154.60892307
     -2.99299299    154.55113046
     -2.97297297    154.04305902
     -2.95295295    152.88505091
     -2.93293293    150.95974616
     -2.91291291    148.23933344
     -2.89289289    144.77904883
     -2.87287287    140.69974090
     -2.85285285    136.16428873
     -2.83283283    131.35321657
     -2.81281281    126.44390520
     -2.79279279    121.59581244
     -2.77277277    116.94188830
     -2.75275275    112.58471728
     -2.73273273    108.59531468
     -2.71271271    105.01293558
     -2.69269269    101.84530002
     -2.67267267     99.06970371
     -2.65265265     96.63607404
     -2.63263263     94.47292065
     -2.61261261     92.49640614
     -2.59259259     90.62174449
     -2.57257257     88.77523357
     -2.55255255     86.90479379
     -2.53253253     84.98708214
     -2.51251251     83.03000417
     -2.49249249     81.07047286
     -2.47247247     79.16819304
     -2.45245245     77.39678655
     -2.43243243     75.83362697
     -2.41241241     74.54946742
     -2.39239239     73.59860720
     -2.37237237     73.01021531
     -2.35235235     72.78159289
     -2.33233233     72.87446186
     -2.31231231     73.21550927
     -2.29229229     73.70211041
     -2.27227227     74.21331326
     -2.25225225     74.62498480
     -2.23223223     74.82690805
     -2.21221221     74.73902202
     -2.19219219     74.32417268
     -2.17217217     73.59563097
     -2.15215215     72.61887506
     -2.13213213     71.50823916
     -2.11211211     70.41961713
     -2.09209209     69.54035791
     -2.07207207     69.07698560
     -2.05205205     69.24077997
     -2.03203203     70.23092950
     -2.01201201     72.21513598
     -1.99199199     75.30822785
     -1.97197197     79.55037676
     -1.95195195     84.88765111
     -1.93193193     91.15856346
     -1.91191191     98.09063620
     -1.89189189    105.31050041
     -1.87187187    112.36945463
     -1.85185185    118.78378756
     -1.83183183    124.08591105
     -1.81181181    127.87920871
     -1.79179179    129.88742974
