#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.405020 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.59497971       29.38395043        1.97960526        4.48507856       22.54556008        0.32118896        0.05251756
       -5.57495969       30.77375995        2.35180209        4.86317489       23.15493767        0.34779769        0.05604761
       -5.55493967       31.97333920        2.73338456        5.20787399       23.59713255        0.37578451        0.05916359
       -5.53491965       32.92609462        3.10516584        5.49637488       23.85909779        0.40372587        0.06173023
       -5.51489963       33.57275720        3.44596216        5.70706591       23.92610634        0.43000886        0.06361394
       -5.49487961       33.86147739        3.73484576        5.82256708       23.78630576        0.45305767        0.06470110
       -5.47485959       33.75807200        3.95360622        5.83225268       23.43574729        0.47154870        0.06491711
       -5.45483957       33.25387944        4.08899727        5.73375057       22.88232030        0.48456974        0.06424156
       -5.43481955       32.36938921        4.13436593        5.53317178       22.14743980        0.49169534        0.06271635
       -5.41479953       31.15294316        4.09037260        5.24411864       21.26503485        0.49297233        0.06044474
       -5.39477951       29.67497581        3.96468732        4.88576359       20.27811296        0.48883028        0.05758166
       -5.37475949       28.01915717        3.77074385        4.48042794       19.23372198        0.47994647        0.05431693
       -5.35473947       26.27226895        3.52580271        4.05110668       18.17740406        0.46710107        0.05085443
       -5.33471945       24.51468383        3.24868153        3.61930896       17.14824715        0.45105562        0.04739057
       -5.31469943       22.81302106        2.95753791        3.20345728       16.17545126        0.43247902        0.04409558
       -5.29467941       21.21603173        2.66804087        2.81795284       15.27700594        0.41193180        0.04110029
       -5.27465939       19.75412010        2.39215987        2.47289534       14.46066997        0.38990452        0.03849040
       -5.25463937       18.44222243        2.13766538        2.17435515       13.72700039        0.36689256        0.03630894
       -5.23461935       17.28514457        1.90830086        1.92503621       13.07376178        0.34347969        0.03456604
       -5.21459933       16.28402543        1.70447964        1.72514141       12.50075017        0.32040000        0.03325421
       -5.19457931       15.44245371        1.52429684        1.57325935       12.01397804        0.29855348        0.03236600
       -5.17455929       14.77096679        1.36463184        1.46713044       11.62833084        0.27896266        0.03191101
       -5.15453927       14.28914882        1.22214552        1.40421112       11.36818762        0.26267528        0.03192927
       -5.13451925       14.02517403        1.09403400        1.38202062       11.26598661        0.25063384        0.03249896
       -5.11449923       14.01321919        0.97846995        1.39830506       11.35916342        0.24354326        0.03373750
       -5.09447921       14.28952886        0.87472749        1.45107312       11.68616250        0.24176992        0.03579582
       -5.07445919       14.88797785        0.78303661        1.53854522       12.28225244        0.24529725        0.03884634
       -5.05443917       15.83576353        0.70424367        1.65902636       13.17568019        0.25374789        0.04306542
       -5.03441915       17.14949609        0.63936775        1.81068397       14.38436823        0.26646490        0.04861124
       -5.01439913       18.83160720        0.58914247        1.99120846       15.91303017        0.28262795        0.05559815
       -4.99437911       20.86682580        0.55362343        2.19736522       17.75039649        0.30137178        0.06406888
       -4.97435909       23.21857568        0.53192528        2.42450509       19.86630427        0.32187396        0.07396708
       -4.95433907       25.82553120        0.52213041        2.66616061       22.20873719        0.34338975        0.08511324
       -4.93431905       28.59910738        0.52138411        2.91388705       24.70141830        0.36522903        0.09718889
       -4.91429903       31.42314262        0.52616153        3.15748569       27.24307074        0.38669071        0.10973395
       -4.89427901       34.15720080        0.53266237        3.38566728       29.70972351        0.40698544        0.12216221
       -4.87425899       36.64457910        0.53726617        3.58709509       31.96123554        0.42518437        0.13379793
       -4.85423897       38.72521534        0.53696877        3.75162756       33.85246053        0.44022562        0.14393286
       -4.83421895       40.25241861        0.52972303        3.87150279       35.24830062        0.45099354        0.15189863
       -4.81419893       41.11105978        0.51462522        3.94220271       36.04062387        0.45646308        0.15714490
       -4.79417891       41.23399360        0.49192041        3.96280840       36.16407424        0.45588011        0.15931045
       -4.77415889       40.61338752        0.46283752        3.93578765       35.60755331        0.44893472        0.15827432
       -4.75413887       39.30441283        0.42929918        3.86629680       34.41875676        0.43588337        0.15417673
       -4.73411885       37.42022598        0.39357287        3.76118528       32.70047658        0.41758614        0.14740511
       -4.71409883       35.11891485        0.35793228        3.62793354       30.59905680        0.39544497        0.13854727
       -4.69407881       32.58462006        0.32438251        3.47372740       28.28693971        0.37125094        0.12831950
       -4.67405879       30.00598559        0.29447632        3.30479920       25.94226092        0.34696726        0.11748189
       -4.65403877       27.55529148        0.26922210        3.12607977       23.72874947        0.32448624        0.10675390
       -4.63401875       25.37115506        0.24906636        2.94113737       21.77880866        0.30540047        0.09674220
       -4.61399873       23.54679327        0.23392889        2.75234119       20.18181113        0.29082261        0.08788945
       -4.59397871       22.12479144        0.22327385        2.56117580       18.97861610        0.28127703        0.08044866
       -4.57395869       21.09834066        0.21620879        2.36863481       18.16234013        0.27667317        0.07448376
       -4.55393867       20.41811181        0.21160855        2.17562713       17.68462485        0.27635812        0.06989316
       -4.53391865       20.00337574        0.20825875        1.98333539       17.46609545        0.27923558        0.06645058
       -4.51389863       19.75565885        0.20500644        1.79347591       17.40938948        0.28393141        0.06385561
       -4.49387861       19.57312557        0.20089808        1.60842749       17.41303140        0.28898239        0.06178620
       -4.47385859       19.36397838        0.19528294        1.43121879       17.38450690        0.29302388        0.05994588
       -4.45383857       19.05742374        0.18786508        1.26538526       17.25111932        0.29495352        0.05810056
       -4.43381855       18.61112591        0.17869831        1.11471985       16.96755362        0.29405242        0.05610171
       -4.41379853       18.01451695        0.16813030        0.98294662       16.51949435        0.29005054        0.05389514
       -4.39377851       17.28782190        0.15671216        0.87334949       15.92311331        0.28313077        0.05151617
       -4.37375849       16.47716480        0.14509326        0.78839564       15.22072738        0.27387473        0.04907379
       -4.35373847       15.64660424        0.13392036        0.72940811       14.47338723        0.26316187        0.04672666
       -4.33371845       14.86833817        0.12375579        0.69635676       13.75153022        0.25204061        0.04465479
       -4.31369843       14.21253136        0.11502416        0.68783990       13.12504315        0.24159346        0.04303069
       -4.29367841       13.73818560        0.10799240        0.70130726       12.65407507        0.23281726        0.04199361
       -4.27365839       13.48618374        0.10278278        0.73352545       12.38171188        0.22653365        0.04162998
       -4.25363837       13.47516687        0.09941365        0.78121763       12.32923756        0.22333624        0.04196178
       -4.23361835       13.70038443        0.09785638        0.84173929       12.49427352        0.22357141        0.04294384
       -4.21359833       14.13523286        0.09809206        0.91360592       12.85172267        0.22734277        0.04446945
       -4.19357831       14.73495441        0.10014876        0.99668945       13.35720601        0.23452700        0.04638318
       -4.17355829       15.44189938        0.10410313        1.09195858       13.95254801        0.24479059        0.04849907
       -4.15353827       16.19178171        0.11003827        1.20075017       14.57276731        0.25760384        0.05062211
       -4.13351825       16.92038137        0.11796381        1.32370084       15.15389012        0.27225575        0.05257085
       -4.11349823       17.57011144        0.12771840        1.45960054       15.64071472        0.28787947        0.05419831
       -4.09347821       18.09579544        0.13888603        1.60450949       15.99349116        0.30350010        0.05540866
       -4.07345819       18.46896853        0.15076017        1.75146793       16.19246107        0.31811261        0.05616676
       -4.05343817       18.68011243        0.16238066        1.89101055       16.23943315        0.33078889        0.05649918
       -4.03341815       18.73849327        0.17264977        2.01249247       16.15606383        0.34080100        0.05648620
       -4.01339813       18.66965732        0.18050936        2.10599236       15.97917221        0.34773705        0.05624632
       -3.99337811       18.51105330        0.18513921        2.16435557       15.75406104        0.35158074        0.05591674
       -3.97335809       18.30657742        0.18612462        2.18484733       15.52724230        0.35272955        0.05563363
       -3.95333807       18.10099156        0.18354518        2.16994832       15.34004268        0.35193887        0.05551651
       -3.93331805       17.93511489        0.17795565        2.12703679       15.22426383        0.35019889        0.05565973
       -3.91329803       17.84245454        0.17025997        2.06700700       15.20048552        0.34857012        0.05613193
       -3.89327801       17.84758570        0.16151028        2.00217812       15.27889756        0.34801690        0.05698285
       -3.87325799       17.96619359        0.15268470        1.94405104       15.46192407        0.34927934        0.05825444
       -3.85323797       18.20633857        0.14450328        1.90150423       15.74752500        0.35281334        0.05999272
       -3.83321795       18.57027649        0.13732837        1.87987009       16.13201373        0.35880758        0.06225673
       -3.81319793       19.05611506        0.13116950        1.88104969       16.61151120        0.36726301        0.06512165
       -3.79317791       19.65872760        0.12578088        1.90449910       17.18167026        0.37810224        0.06867513
       -3.77315789       20.36964127        0.12081366        1.94866056       17.83589191        0.39126836        0.07300679
       -3.75313787       21.17598518        0.11597201        2.01229774       18.56274465        0.40677808        0.07819270
       -3.73311785       22.05892052        0.11112563        2.09525820       19.34355054        0.42470947        0.08427669
       -3.71309783       22.99218563        0.10634900        2.19840220       20.15105760        0.44512611        0.09125073
       -3.69307781       23.94142595        0.10188337        2.32273331       20.94981278        0.46795956        0.09903692
       -3.67305779       24.86484598        0.09804169        2.46804790       21.69839651        0.49288635        0.10747354
       -3.65303777       25.71546805        0.09509352        2.63159974       22.35322602        0.51924026        0.11630850
       -3.63301775       26.44497257        0.09317010        2.80729868       22.87330463        0.54599491        0.12520426
       -3.61299773       27.00878110        0.09222077        2.98581960       23.22514708        0.57183630        0.13375735
       -3.59297771       27.37175810        0.09203375        3.15573341       23.38713235        0.59532413        0.14153446
       -3.57295769       27.51367433        0.09231348        3.30546202       23.35265912        0.61511705        0.14812267
       -3.55293767       27.43342788        0.09278941        3.42559637       23.13163756        0.63021754        0.15318700
       -3.53291765       27.15101198        0.09332307        3.51097724       22.75000733        0.64018048        0.15652386
       -3.51289763       26.70641353        0.09398119        3.56196576       22.24713916        0.64523031        0.15809711
       -3.49287761       26.15505838        0.09505337        3.58451646       21.67119643        0.64624727        0.15804485
       -3.47285759       25.56006524        0.09700730        3.58896198       21.07283396        0.64461061        0.15665139
       -3.45283757       24.98232181        0.10039047        3.58774538       20.49797761        0.64192099        0.15428737
       -3.43281755       24.47007644        0.10569901        3.59260865       19.98078078        0.63965743        0.15133058
       -3.41279753       24.05013491        0.11324156        3.61189431       19.53806648        0.63884586        0.14808671
       -3.39277751       23.72268801        0.12302700        3.64860274       19.16650750        0.63982005        0.14473072
       -3.37275749       23.46119534        0.13470073        3.69967331       18.84339874        0.64213763        0.14128492
       -3.35273747       23.21769303        0.14754524        3.75666307       18.53116706        0.64467790        0.13763977
       -3.33271745       22.93261428        0.16054925        3.80765677       18.18489515        0.64590163        0.13361147
       -3.31269743       22.54706048        0.17253567        3.83994280       17.76135094        0.64421129        0.12901978
       -3.29267741       22.01478854        0.18232624        3.84281081       17.22756451        0.63832286        0.12376410
       -3.27265739       21.31121992        0.18891195        3.80981643       16.56705555        0.62755913        0.11787686
       -3.25263737       20.43754934        0.19159579        3.74001727       15.78239894        0.61199673        0.11154061
       -3.23261735       19.41931892        0.19008084        3.63796451       14.89376708        0.59244072        0.10506578
       -3.21259733       18.30024219        0.18448907        3.51255313       13.93411768        0.57024580        0.09883651
       -3.19257731       17.13318848        0.17531319        3.37510144       12.94249316        0.54704112        0.09323957
       -3.17255729       15.97075373        0.16331847        3.23717692       11.95723135        0.52443296        0.08859404
       -3.15253727       14.85764009        0.14942069        3.10868166       11.01068401        0.50375635        0.08509738
       -3.13251725       13.82626615        0.13456686        2.99657538       10.12640225        0.48592354        0.08279812
       -3.11249723       12.89593494        0.11963839        2.90440017        9.31891199        0.47138605        0.08159834
       -3.09247721       12.07486307        0.10538580        2.83255113        8.59544765        0.46019584        0.08128265
       -3.07245719       11.36372984        0.09239359        2.77907127        7.95856913        0.45213068        0.08156516
       -3.05243717       10.75928867        0.08106811        2.74067652        7.40855983        0.44684065        0.08214355
       -3.03241715       10.25695259        0.07164012        2.71373744        6.94484740        0.44397832        0.08274929
