#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.405020 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.59497971       60.15145007        4.89113695       51.56382057        3.28613007        0.37516226        0.03520023
       -5.57495969       63.92826684        5.24559370       54.76824371        3.48043065        0.39581849        0.03818028
       -5.55493967       67.35021105        5.55588485       57.69411755        3.64487581        0.41390824        0.04142461
       -5.53491965       70.23481080        5.80791063       60.18210756        3.77128206        0.42875429        0.04475626
       -5.51489963       72.39931291        5.98818994       62.07162751        3.85189730        0.43963484        0.04796332
       -5.49487961       73.68797723        6.08554016       63.22517617        3.88054146        0.44588953        0.05082991
       -5.47485959       73.99713636        6.09272101       63.55052186        3.85368763        0.44703780        0.05316806
       -5.45483957       73.29241322        6.00768900       63.01576365        3.77123588        0.44288105        0.05484364
       -5.43481955       71.61462423        5.83419722       61.65425948        3.63681135        0.43356489        0.05579130
       -5.41479953       69.07372667        5.58161758       59.55897207        3.45753243        0.41958835        0.05601624
       -5.39477951       65.83280755        5.26401744       56.86814253        3.24330518        0.40175856        0.05558384
       -5.37475949       62.08591396        4.89865301       53.74577876        3.00578109        0.38110042        0.05460069
       -5.35473947       58.03424448        4.50413262       50.36102494        2.75715636        0.35873832        0.05319224
       -5.33471945       53.86495598        4.09854573       46.87016059        2.50899656        0.33577084        0.05148226
       -5.31469943       49.73586204        3.69784837       43.40402546        2.27125032        0.31315958        0.04957831
       -5.29467941       45.76789032        3.31474110       40.06235658        2.05157675        0.29165048        0.04756541
       -5.27465939       42.04556507        2.95817618       36.91508372        1.85505755        0.27173930        0.04550832
       -5.25463937       38.62420995        2.63349980       34.00926407        1.68430100        0.25368457        0.04346051
       -5.23461935       35.54128793        2.34310213       31.37926920        1.53987823        0.23756138        0.04147700
       -5.21459933       32.82859258        2.08734829       29.05729916        1.42097671        0.22334119        0.03962724
       -5.19457931       30.52209191        1.86552615       27.08145712        1.32612531        0.21097857        0.03800477
       -5.17455929       28.66711917        1.67658561       25.49946810        1.25384821        0.20048613        0.03673112
       -5.15453927       27.31806391        1.51954126       24.36744452        1.20314050        0.19198479        0.03595285
       -5.13451925       26.53329685        1.39353240       23.74449513        1.17371269        0.18572454        0.03583210
       -5.11449923       26.36726761        1.29763772       23.68501090        1.16600775        0.18207906        0.03653218
       -5.09447921       26.86218736        1.23059364       24.23083667        1.18103445        0.18152199        0.03820061
       -5.07445919       28.04135578        1.19055631       25.40517723        1.22007708        0.18459321        0.04095194
       -5.05443917       29.90521143        1.17499034       27.20917380        1.28433531        0.19185916        0.04485282
       -5.03441915       32.42997542        1.18069368       29.62097584        1.37452964        0.20386560        0.04991066
       -5.01439913       35.56777843        1.20391024       32.59623204        1.49049280        0.22107670        0.05606664
       -4.99437911       39.24676860        1.24046134       36.06855532        1.63076550        0.24379364        0.06319280
       -4.97435909       43.37004271        1.28584710       39.94882088        1.79223077        0.27205131        0.07109267
       -4.95433907       47.81321527        1.33531381       44.12304696        1.96984828        0.30550172        0.07950450
       -4.93431905       52.42169896        1.38392789       48.44978550        2.15657340        0.34330492        0.08810725
       -4.91429903       57.00983652        1.42671700       52.75898149        2.34354978        0.38405832        0.09652995
       -4.89427901       61.36443475        1.45892339       56.85471114        2.52063584        0.42579807        0.10436632
       -4.87425899       65.25472157        1.47636824       60.52379527        2.67726304        0.46609860        0.11119642
       -4.85423897       68.44930139        1.47586904       63.55099749        2.80354043        0.50227814        0.11661628
       -4.83421895       70.73868732        1.45561049       65.73967005        2.89143998        0.53169254        0.12027426
       -4.81419893       71.96005424        1.41536310       66.93485812        2.93584846        0.55207432        0.12191023
       -4.79417891       72.01963455        1.35647796       67.04463336        2.93527587        0.56185598        0.12139139
       -4.77415889       70.90812064        1.28164922       66.05525024        2.89207051        0.56041332        0.11873734
       -4.75413887       68.70561585        1.19450386       64.03671306        2.81209298        0.54817754        0.11412841
       -4.73411885       65.57475266        1.09912414       61.13723039        2.70391341        0.52659121        0.10789351
       -4.71409883       61.74295944        0.99961529       57.56726342        2.57768698        0.49791547        0.10047828
       -4.69407881       57.47685585        0.89979782       53.57582693        2.44390834        0.46492493        0.09239783
       -4.67405879       53.05293239        0.80304729       49.42291742        2.31224057        0.43054578        0.08418133
       -4.65403877       48.72887876        0.71224698       45.35224615        2.19057097        0.39749787        0.07631679
       -4.63401875       44.71932262        0.62978640       41.56795477        2.08438299        0.36799445        0.06920401
       -4.61399873       41.17863969        0.55753938       38.21796888        1.99647322        0.34353700        0.06312121
       -4.59397871       38.19222753        0.49678763       35.38541317        1.92699445        0.32482335        0.05820894
       -4.57395869       35.77643226        0.44810162       33.08831525        1.87377573        0.31176818        0.05447148
       -4.55393867       33.88630112        0.41122899       31.28680414        1.83285415        0.30361978        0.05179405
       -4.53391865       32.42954941        0.38505627       29.89622743        1.79914729        0.29914637        0.04997205
       -4.51389863       31.28459026        0.36769571       28.80409219        1.76719479        0.29685991        0.04874767
       -4.49387861       30.32019127        0.35671276       27.88848466        1.73189987        0.29524536        0.04784863
