#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.845704 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -5.15429627        0.01729427        0.01386412        0.00314546        0.00028469
       -5.13427625        0.01785382        0.01436927        0.00319480        0.00028975
       -5.11425623        0.01833334        0.01481276        0.00322708        0.00029349
       -5.09423621        0.01867174        0.01513803        0.00323822        0.00029550
       -5.07421619        0.01881308        0.01529073        0.00322676        0.00029559
       -5.05419617        0.01871705        0.01522893        0.00319419        0.00029392
       -5.03417615        0.01836687        0.01493126        0.00314473        0.00029088
       -5.01415613        0.01777273        0.01440110        0.00308457        0.00028706
       -4.99413611        0.01697009        0.01366590        0.00302104        0.00028314
       -4.97411609        0.01601355        0.01277196        0.00296176        0.00027983
       -4.95409607        0.01496800        0.01177604        0.00291413        0.00027783
       -4.93407605        0.01389916        0.01073613        0.00288519        0.00027784
       -4.91405603        0.01286574        0.00970329        0.00288189        0.00028055
       -4.89403601        0.01191452        0.00871628        0.00291149        0.00028674
       -4.87401599        0.01107873        0.00779964        0.00298184        0.00029724
       -4.85399597        0.01037936        0.00696508        0.00310134        0.00031294
       -4.83397595        0.00982811        0.00621523        0.00327823        0.00033466
       -4.81395593        0.00943086        0.00554861        0.00351922        0.00036303
       -4.79393591        0.00919028        0.00496439        0.00382760        0.00039829
       -4.77391589        0.00910725        0.00446605        0.00420114        0.00044006
       -4.75389587        0.00918083        0.00406340        0.00463027        0.00048717
       -4.73387585        0.00940738        0.00377260        0.00509716        0.00053762
       -4.71385583        0.00977937        0.00361456        0.00557618        0.00058863
       -4.69383581        0.01028477        0.00361208        0.00603581        0.00063688
       -4.67381579        0.01090726        0.00378630        0.00644214        0.00067882
       -4.65379577        0.01162758        0.00415317        0.00676322        0.00071119
       -4.63377575        0.01242543        0.00472037        0.00697364        0.00073142
       -4.61375573        0.01328151        0.00548517        0.00705835        0.00073799
       -4.59373571        0.01417880        0.00643327        0.00701483        0.00073071
       -4.57371569        0.01510268        0.00753877        0.00685328        0.00071063
       -4.55369567        0.01603959        0.00876506        0.00659463        0.00067990
       -4.53367565        0.01697463        0.01006640        0.00626685        0.00064138
       -4.51365563        0.01788887        0.01139015        0.00590047        0.00059824
       -4.49363561        0.01875720        0.01267956        0.00552413        0.00055351
       -4.47361559        0.01954785        0.01387698        0.00516110        0.00050976
       -4.45359557        0.02022382        0.01492756        0.00482731        0.00046895
