#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
      -10.00000000        0.01729427        0.01386412        0.00314546        0.00028469
       -9.97997998        0.01785382        0.01436927        0.00319480        0.00028975
       -9.95995996        0.01833334        0.01481276        0.00322708        0.00029349
       -9.93993994        0.01867174        0.01513803        0.00323822        0.00029550
       -9.91991992        0.01881308        0.01529073        0.00322676        0.00029559
       -9.89989990        0.01871705        0.01522893        0.00319419        0.00029392
       -9.87987988        0.01836687        0.01493126        0.00314473        0.00029088
       -9.85985986        0.01777273        0.01440110        0.00308457        0.00028706
       -9.83983984        0.01697009        0.01366590        0.00302104        0.00028314
       -9.81981982        0.01601355        0.01277196        0.00296176        0.00027983
       -9.79979980        0.01496800        0.01177604        0.00291413        0.00027783
       -9.77977978        0.01389916        0.01073613        0.00288519        0.00027784
       -9.75975976        0.01286574        0.00970329        0.00288189        0.00028055
       -9.73973974        0.01191452        0.00871628        0.00291149        0.00028674
       -9.71971972        0.01107873        0.00779964        0.00298184        0.00029724
       -9.69969970        0.01037936        0.00696508        0.00310134        0.00031294
       -9.67967968        0.00982811        0.00621523        0.00327823        0.00033466
       -9.65965966        0.00943086        0.00554861        0.00351922        0.00036303
       -9.63963964        0.00919028        0.00496439        0.00382760        0.00039829
       -9.61961962        0.00910725        0.00446605        0.00420114        0.00044006
       -9.59959960        0.00918083        0.00406340        0.00463027        0.00048717
       -9.57957958        0.00940738        0.00377260        0.00509716        0.00053762
       -9.55955956        0.00977937        0.00361456        0.00557618        0.00058863
       -9.53953954        0.01028477        0.00361208        0.00603581        0.00063688
       -9.51951952        0.01090726        0.00378630        0.00644214        0.00067882
       -9.49949950        0.01162758        0.00415317        0.00676322        0.00071119
       -9.47947948        0.01242543        0.00472037        0.00697364        0.00073142
       -9.45945946        0.01328151        0.00548517        0.00705835        0.00073799
       -9.43943944        0.01417880        0.00643327        0.00701483        0.00073071
       -9.41941942        0.01510268        0.00753877        0.00685328        0.00071063
       -9.39939940        0.01603959        0.00876506        0.00659463        0.00067990
       -9.37937938        0.01697463        0.01006640        0.00626685        0.00064138
       -9.35935936        0.01788887        0.01139015        0.00590047        0.00059824
       -9.33933934        0.01875720        0.01267956        0.00552413        0.00055351
       -9.31931932        0.01954785        0.01387698        0.00516110        0.00050976
       -9.29929930        0.02022382        0.01492756        0.00482731        0.00046895
       -9.27927928        0.02074640        0.01578307        0.00453100        0.00043233
       -9.25925926        0.02107993        0.01640556        0.00427380        0.00040057
       -9.23923924        0.02119689        0.01677028        0.00405276        0.00037386
       -9.21921922        0.02108224        0.01686739        0.00386271        0.00035214
       -9.19919920        0.02073587        0.01670227        0.00369840        0.00033519
       -9.17917918        0.02017312        0.01629420        0.00355610        0.00032282
       -9.15915916        0.01942304        0.01567387        0.00343430        0.00031487
       -9.13913914        0.01852508        0.01488018        0.00333367        0.00031123
       -9.11911912        0.01752487        0.01395667        0.00325639        0.00031181
       -9.09909910        0.01646964        0.01294816        0.00320499        0.00031649
       -9.07907908        0.01540399        0.01189779        0.00318120        0.00032500
       -9.05905906        0.01436647        0.01084461        0.00318497        0.00033690
       -9.03903904        0.01338729        0.00982172        0.00321401        0.00035156
       -9.01901902        0.01248731        0.00885509        0.00326400        0.00036821
       -8.99899900        0.01167844        0.00796306        0.00332933        0.00038605
       -8.97897898        0.01096534        0.00715653        0.00340442        0.00040439
       -8.95895896        0.01034785        0.00643983        0.00348517        0.00042285
       -8.93893894        0.00982379        0.00581200        0.00357030        0.00044149
       -8.91891892        0.00939148        0.00526834        0.00366224        0.00046090
       -8.89889890        0.00905138        0.00480182        0.00376733        0.00048223
       -8.87887888        0.00880672        0.00440420        0.00389545        0.00050707
       -8.85885886        0.00866319        0.00406690        0.00405900        0.00053729
       -8.83883884        0.00862780        0.00378147        0.00427152        0.00057481
       -8.81881882        0.00870753        0.00354004        0.00454612        0.00062137
       -8.79879880        0.00890784        0.00333565        0.00489387        0.00067832
       -8.77877878        0.00923136        0.00316264        0.00532236        0.00074637
       -8.75875876        0.00967688        0.00301693        0.00583446        0.00082548
       -8.73873874        0.01023844        0.00289603        0.00642761        0.00091480
       -8.71871872        0.01090498        0.00279876        0.00709354        0.00101269
       -8.69869870        0.01166031        0.00272465        0.00781885        0.00111681
       -8.67867868        0.01248382        0.00267325        0.00858619        0.00122438
       -8.65865866        0.01335169        0.00264345        0.00937583        0.00133242
       -8.63863864        0.01423871        0.00263324        0.01016748        0.00143799
       -8.61861862        0.01512004        0.00263979        0.01094177        0.00153848
       -8.59859860        0.01597292        0.00265996        0.01168129        0.00163168
       -8.57857858        0.01677796        0.00269081        0.01237122        0.00171594
       -8.55855856        0.01751984        0.00273006        0.01299968        0.00179009
       -8.53853854        0.01818760        0.00277601        0.01355804        0.00185354
       -8.51851852        0.01877445        0.00282714        0.01404114        0.00190617
       -8.49849850        0.01927695        0.00288137        0.01444725        0.00194832
       -8.47847848        0.01969353        0.00293548        0.01477741        0.00198064
       -8.45845846        0.02002249        0.00298484        0.01503381        0.00200385
       -8.43843844        0.02025964        0.00302377        0.01521748        0.00201839
       -8.41841842        0.02039650        0.00304654        0.01532584        0.00202412
       -8.39839840        0.02041974        0.00304860        0.01535105        0.00202009
       -8.37837838        0.02031256        0.00302781        0.01528015        0.00200460
       -8.35835836        0.02005793        0.00298507        0.01509736        0.00197550
       -8.33833834        0.01964332        0.00292435        0.01478818        0.00193079
       -8.31831832        0.01906539        0.00285186        0.01434425        0.00186927
       -8.29829830        0.01833358        0.00277483        0.01376762        0.00179113
       -8.27827828        0.01747125        0.00270017        0.01307289        0.00169820
       -8.25825826        0.01651409        0.00263347        0.01228672        0.00159390
       -8.23823824        0.01550590        0.00257851        0.01144457        0.00148282
       -8.21821822        0.01449300        0.00253736        0.01058566        0.00136998
       -8.19819820        0.01351853        0.00251082        0.00974753        0.00126018
       -8.17817818        0.01261795        0.00249906        0.00896156        0.00115733
       -8.15815816        0.01181668        0.00250200        0.00825049        0.00106419
       -8.13813814        0.01113013        0.00251956        0.00762824        0.00098232
       -8.11811812        0.01056553        0.00255148        0.00710169        0.00091235
       -8.09809810        0.01012459        0.00259698        0.00667330        0.00085431
       -8.07807808        0.00980607        0.00265436        0.00634368        0.00080803
       -8.05805806        0.00960720        0.00272083        0.00611308        0.00077330
       -8.03803804        0.00952381        0.00279246        0.00598140        0.00074995
       -8.01801802        0.00954934        0.00286453        0.00594710        0.00073771
       -7.99799800        0.00967357        0.00293211        0.00600545        0.00073601
       -7.97797798        0.00988164        0.00299079        0.00614705        0.00074380
       -7.95795796        0.01015419        0.00303737        0.00635734        0.00075948
       -7.93793794        0.01046872        0.00307031        0.00661743        0.00078098
       -7.91791792        0.01080185        0.00308984        0.00690603        0.00080598
       -7.89789790        0.01113205        0.00309766        0.00720220        0.00083219
       -7.87787788        0.01144190        0.00309619        0.00748805        0.00085767
       -7.85785786        0.01171937        0.00308764        0.00775074        0.00088099
       -7.83783784        0.01195784        0.00307315        0.00798330        0.00090139
       -7.81781782        0.01215477        0.00305215        0.00818399        0.00091863
       -7.79779780        0.01230966        0.00302227        0.00835454        0.00093286
       -7.77777778        0.01242172        0.00297982        0.00849761        0.00094429
       -7.75775776        0.01248804        0.00292076        0.00861432        0.00095295
       -7.73773774        0.01250281        0.00284189        0.00870240        0.00095853
       -7.71771772        0.01245770        0.00274190        0.00875556        0.00096023
       -7.69769770        0.01234340        0.00262218        0.00876427        0.00095695
       -7.67767768        0.01215192        0.00248685        0.00871764        0.00094743
       -7.65765766        0.01187898        0.00234238        0.00860603        0.00093057
       -7.63763764        0.01152591        0.00219660        0.00842363        0.00090569
       -7.61761762        0.01110058        0.00205754        0.00817026        0.00087278
       -7.59759760        0.01061707        0.00193240        0.00785213        0.00083253
       -7.57757758        0.01009422        0.00182666        0.00748125        0.00078630
       -7.55755756        0.00955330        0.00174367        0.00707369        0.00073594
       -7.53753754        0.00901543        0.00168462        0.00664728        0.00068352
       -7.51751752        0.00849921        0.00164882        0.00621929        0.00063110
       -7.49749750        0.00801908        0.00163413        0.00580447        0.00058047
       -7.47747748        0.00758458        0.00163755        0.00541398        0.00053306
       -7.45745746        0.00720055        0.00165569        0.00505507        0.00048979
       -7.43743744        0.00686796        0.00168525        0.00473152        0.00045119
       -7.41741742        0.00658507        0.00172336        0.00444434        0.00041737
       -7.39739740        0.00634854        0.00176781        0.00419258        0.00038815
       -7.37737738        0.00615420        0.00181712        0.00397395        0.00036313
       -7.35735736        0.00599743        0.00187054        0.00378512        0.00034177
       -7.33733734        0.00587318        0.00192785        0.00362188        0.00032344
       -7.31731732        0.00577584        0.00198907        0.00347928        0.00030749
       -7.29729730        0.00569915        0.00205412        0.00335177        0.00029326
       -7.27727728        0.00563629        0.00212252        0.00323362        0.00028015
       -7.25725726        0.00558030        0.00219321        0.00311945        0.00026763
       -7.23723724        0.00552464        0.00226449        0.00300480        0.00025535
       -7.21721722        0.00546393        0.00233418        0.00288669        0.00024306
       -7.19719720        0.00539448        0.00239992        0.00276384        0.00023073
       -7.17717718        0.00531467        0.00245958        0.00263664        0.00021845
       -7.15715716        0.00522493        0.00251163        0.00250685        0.00020645
       -7.13713714        0.00512750        0.00255541        0.00237706        0.00019504
       -7.11711712        0.00502588        0.00259127        0.00225010        0.00018452
       -7.09709710        0.00492422        0.00262044        0.00212862        0.00017516
       -7.07707708        0.00482668        0.00264475        0.00201478        0.00016716
       -7.05705706        0.00473694        0.00266609        0.00191025        0.00016060
       -7.03703704        0.00465772        0.00268591        0.00181631        0.00015550
       -7.01701702        0.00459050        0.00270466        0.00173406        0.00015178
       -6.99699700        0.00453523        0.00272144        0.00166449        0.00014930
       -6.97697698        0.00449019        0.00273384        0.00160842        0.00014793
       -6.95695696        0.00445200        0.00273821        0.00156632        0.00014748
       -6.93693694        0.00441578        0.00273014        0.00153788        0.00014776
       -6.91691692        0.00437560        0.00270529        0.00152176        0.00014854
       -6.89689690        0.00432524        0.00266023        0.00151544        0.00014957
       -6.87687688        0.00425910        0.00259324        0.00151530        0.00015055
       -6.85685686        0.00417311        0.00250483        0.00151709        0.00015118
       -6.83683684        0.00406557        0.00239783        0.00151657        0.00015118
       -6.81681682        0.00393763        0.00227711        0.00151020        0.00015033
       -6.79679680        0.00379331        0.00214896        0.00149582        0.00014853
       -6.77677678        0.00363905        0.00202019        0.00147305        0.00014581
       -6.75675676        0.00348288        0.00189725        0.00144328        0.00014235
       -6.73673674        0.00333325        0.00178547        0.00140937        0.00013842
       -6.71671672        0.00319781        0.00168846        0.00137498        0.00013437
       -6.69669670        0.00308221        0.00160785        0.00134383        0.00013053
       -6.67667668        0.00298921        0.00154324        0.00131879        0.00012718
       -6.65665666        0.00291830        0.00149248        0.00130138        0.00012444
       -6.63663664        0.00286582        0.00145210        0.00129140        0.00012231
       -6.61661662        0.00282566        0.00141796        0.00128705        0.00012065
       -6.59659660        0.00279049        0.00138594        0.00128536        0.00011919
       -6.57657658        0.00275326        0.00135264        0.00128296        0.00011765
       -6.55655656        0.00270860        0.00131598        0.00127682        0.00011580
       -6.53653654        0.00265393        0.00127553        0.00126492        0.00011349
       -6.51651652        0.00258983        0.00123250        0.00124666        0.00011067
       -6.49649650        0.00251976        0.00118947        0.00122285        0.00010744
       -6.47647648        0.00244900        0.00114970        0.00119533        0.00010397
       -6.45645646        0.00238325        0.00111640        0.00116641        0.00010045
       -6.43643644        0.00232717        0.00109195        0.00113817        0.00009705
       -6.41641642        0.00228325        0.00107738        0.00111198        0.00009388
       -6.39639640        0.00225132        0.00107211        0.00108823        0.00009097
       -6.37637638        0.00222860        0.00107406        0.00106628        0.00008826
       -6.35635636        0.00221043        0.00108004        0.00104474        0.00008565
       -6.33633634        0.00219110        0.00108627        0.00102181        0.00008302
       -6.31631632        0.00216480        0.00108894        0.00099564        0.00008022
       -6.29629630        0.00212630        0.00108457        0.00096459        0.00007715
       -6.27627628        0.00207142        0.00107035        0.00092736        0.00007371
       -6.25625626        0.00199719        0.00104419        0.00088315        0.00006986
       -6.23623624        0.00190197        0.00100482        0.00083160        0.00006555
       -6.21621622        0.00178555        0.00095185        0.00077289        0.00006080
       -6.19619620        0.00164920        0.00088581        0.00070776        0.00005563
       -6.17617618        0.00149581        0.00080819        0.00063748        0.00005014
       -6.15615616        0.00132975        0.00072145        0.00056387        0.00004443
       -6.13613614        0.00115667        0.00062889        0.00048911        0.00003866
       -6.11611612        0.00098294        0.00053434        0.00041560        0.00003300
       -6.09609610        0.00081501        0.00044178        0.00034562        0.00002761
       -6.07607608        0.00065869        0.00035490        0.00028116        0.00002262
       -6.05605606        0.00051852        0.00027668        0.00022369        0.00001816
       -6.03603604        0.00039739        0.00020909        0.00017403        0.00001428
       -6.01601602        0.00029645        0.00015304        0.00013242        0.00001099
       -5.99599600        0.00021527        0.00010843        0.00009855        0.00000829
       -5.97597598        0.00015220        0.00007432        0.00007175        0.00000613
       -5.95595596        0.00010479        0.00004926        0.00005110        0.00000443
       -5.93593594        0.00007028        0.00003157        0.00003558        0.00000313
       -5.91591592        0.00004594        0.00001956        0.00002421        0.00000216
       -5.89589590        0.00002926        0.00001172        0.00001608        0.00000146
       -5.87587588        0.00001816        0.00000679        0.00001042        0.00000096
       -5.85585586        0.00001099        0.00000381        0.00000657        0.00000061
       -5.83583584        0.00000647        0.00000206        0.00000403        0.00000038
       -5.81581582        0.00000371        0.00000108        0.00000240        0.00000023
       -5.79579580        0.00000207        0.00000055        0.00000139        0.00000013
       -5.77577578        0.00000112        0.00000027        0.00000077        0.00000007
       -5.75575576        0.00000059        0.00000013        0.00000042        0.00000004
       -5.73573574        0.00000030        0.00000006        0.00000022        0.00000002
