# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -4.845704 eV
#    Energy (eV)      DOS 
     -5.15429627    196.77738037
     -5.13427625    207.21179956
     -5.11425623    215.48605247
     -5.09423621    221.18481730
     -5.07421619    224.00081230
     -5.05419617    223.78091727
     -5.03417615    220.55438742
     -5.01415613    214.53575883
     -4.99413611    206.10121705
     -4.97411609    195.74376759
     -4.95409607    184.01739869
     -4.93407605    171.48208290
     -4.91405603    158.65961753
     -4.89403601    146.00589145
     -4.87401599    133.89993987
     -4.85399597    122.64594483
     -4.83397595    112.48236988
     -4.81395593    103.59287541
     -4.79393591     96.11578920
     -4.77391589     90.15143864
     -4.75389587     85.76841798
     -4.73387585     83.01026798
     -4.71385583     81.90321727
     -4.69383581     82.46424364
     -4.67381579     84.70754937
     -4.65379577     88.64712127
     -4.63377575     94.29342076
     -4.61375573    101.64312935
     -4.59373571    110.66192224
     -4.57371569    121.26134037
     -4.55369567    133.27212823
     -4.53367565    146.41807856
     -4.51365563    160.29632102
     -4.49363561    174.37140583
     -4.47361559    187.99037231
     -4.45359557    200.42330906
     -4.43357555    210.92858020
     -4.41355553    218.83500977
     -4.39353551    223.62703672
     -4.37351549    225.01560924
     -4.35349547    222.97903133
     -4.33347545    217.76414766
     -4.31345543    209.84742449
     -4.29343541    199.86477699
     -4.27341539    188.52551102
     -4.25339537    176.52769086
     -4.23337535    164.48950172
     -4.21335533    152.90519141
     -4.19333531    142.12722295
     -4.17331529    132.37051874
     -4.15329527    123.73147084
     -4.13327525    116.21396083
     -4.11325523    109.75627609
     -4.09323521    104.25534611
     -4.07321519     99.58701853
     -4.05319517     95.62244530
     -4.03317515     92.24094202
     -4.01315513     89.33930601
     -3.99313511     86.83714837
     -3.97311509     84.67782196
     -3.95309507     82.82516121
     -3.93307505     81.25722808
     -3.91305503     79.95907035
     -3.89303501     78.91668140
     -3.87301499     78.11374921
     -3.85299497     77.53162882
     -3.83297495     77.15175978
     -3.81295493     76.95896489
     -3.79293491     76.94395999
     -3.77291489     77.10390686
     -3.75289487     77.44064807
     -3.73287485     77.95702835
     -3.71285483     78.65220608
     -3.69283481     79.51704720
     -3.67281479     80.53065416
     -3.65279477     81.65891536
     -3.63277475     82.85570399
     -3.61275473     84.06698582
     -3.59273471     85.23759011
     -3.57271469     86.31980943
