#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.845704 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.15429627       30.54392218        2.27449668        4.81691531       23.06280113        0.33473939        0.05496967
       -5.13427625       32.05568362        2.69582596        5.22410258       23.71109460        0.36582769        0.05883279
       -5.11425623       33.32022151        3.11168462        5.57839153       24.17055257        0.39747941        0.06211338
       -5.09423621       34.25803252        3.49800232        5.85274944       24.41490123        0.42774381        0.06463574
       -5.07421619       34.79808039        3.83067637        6.02447822       24.42198775        0.45468918        0.06624888
       -5.05419617       34.89067382        4.08844756        6.07851569       24.18018055        0.47668041        0.06684960
       -5.03417615       34.51741680        4.25554458        6.00953351       23.69335082        0.49258720        0.06640069
       -5.01415613       33.69590252        4.32361239        5.82246895       22.98299685        0.50188415        0.06494018
       -4.99413611       32.47821284        4.29258020        5.53149724       22.08692378        0.50463196        0.06257966
       -4.97411609       30.94380983        4.17034362        5.15778114       21.05483473        0.50135820        0.05949214
       -4.95409607       29.18861109        3.97137324        4.72653900       19.94192954        0.49287728        0.05589203
       -4.93407605       27.31264785        3.71455416        4.26401843       18.80196496        0.48009907        0.05201123
       -4.91405603       25.40867011        3.42066777        3.79486869       17.68118690        0.46387174        0.04807501
       -4.89403601       23.55354065        3.10993498        3.34022725       16.61420607        0.44489084        0.04428150
       -4.87401599       21.80348661        2.79996989        2.91663906       15.62240395        0.42368672        0.04078700
       -4.85399597       20.19347370        2.50437467        2.53576088       14.71495698        0.40068244        0.03769872
       -4.83397595       18.74027023        2.23207758        2.20469382       13.89212568        0.37629752        0.03507563
       -4.81395593       17.44823571        1.98739684        1.92673508       13.15010437        0.35106269        0.03293674
       -4.79393591       16.31652121        1.77071748        1.70233545       12.48648356        0.32570901        0.03127571
       -4.77391589       15.34622461        1.57959776        1.53007536       11.90527063        0.30120133        0.03007952
