#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.18691099        0.01448080        0.17007542        0.00210779        0.00022413        0.00002285
       -9.97997998        0.19066584        0.01478549        0.17345647        0.00216912        0.00023164        0.00002311
       -9.95995996        0.19377182        0.01505904        0.17624012        0.00221195        0.00023752        0.00002319
       -9.93993994        0.19578632        0.01525356        0.17803787        0.00223086        0.00024098        0.00002304
       -9.91991992        0.19637553        0.01532000        0.17856884        0.00222253        0.00024152        0.00002264
       -9.89989990        0.19537698        0.01521796        0.17771180        0.00218629        0.00023892        0.00002201
       -9.87987988        0.19282855        0.01492413        0.17552563        0.00212429        0.00023330        0.00002120
       -9.85985986        0.18896134        0.01443722        0.17223764        0.00204109        0.00022511        0.00002027
       -9.83983984        0.18416290        0.01377820        0.16820738        0.00194301        0.00021501        0.00001929
       -9.81981982        0.17892343        0.01298604        0.16387804        0.00183722        0.00020378        0.00001834
       -9.79979980        0.17378019        0.01211018        0.15972940        0.00173091        0.00019222        0.00001749
       -9.77977978        0.16927307        0.01120182        0.15624280        0.00163058        0.00018107        0.00001679
       -9.75975976        0.16591825        0.01030617        0.15388315        0.00154169        0.00017094        0.00001630
       -9.73973974        0.16419920        0.00945712        0.15309527        0.00146845        0.00016230        0.00001605
       -9.71971972        0.16456666        0.00867542        0.15430571        0.00141397        0.00015548        0.00001608
       -9.69969970        0.16743530        0.00796987        0.15791787        0.00138047        0.00015070        0.00001640
       -9.67967968        0.17316483        0.00734092        0.16428931        0.00136945        0.00014812        0.00001702
       -9.65965966        0.18201840        0.00678532        0.17368551        0.00138183        0.00014779        0.00001796
       -9.63963964        0.19410001        0.00630051        0.18621271        0.00141786        0.00014973        0.00001919
       -9.61961962        0.20928182        0.00588797        0.20174232        0.00147696        0.00015388        0.00002069
       -9.59959960        0.22714058        0.00555486        0.21984584        0.00155741        0.00016008        0.00002239
       -9.57957958        0.24692532        0.00531401        0.23976290        0.00165614        0.00016806        0.00002420
