#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       63.38667105        5.24207186       54.19940318        3.50993409        0.39803265        0.03722927
       -9.97997998       67.47172734        5.60952449       57.68805110        3.71298247        0.42028768        0.04088161
       -9.95995996       71.04179127        5.91749614       60.76341990        3.87699842        0.43916680        0.04471001
       -9.93993994       73.86422871        6.14944366       63.22065942        3.99194427        0.45372618        0.04845517
       -9.91991992       75.73460083        6.29130076       64.87880332        4.04954171        0.46310565        0.05184939
       -9.89989990       76.50877453        6.33343412       65.60940945        4.04460360        0.46666982        0.05465753
       -9.87987988       76.12571626        6.27216947       65.35670543        3.97600325        0.46412748        0.05671062
       -9.85985986       74.61628072        6.11056274       64.14512037        3.84707108        0.45560120        0.05792532
       -9.83983984       72.09681636        5.85825896       62.07327237        3.66534648        0.44163248        0.05830607
       -9.81981982       68.74990776        5.53047117       59.29662932        3.44175293        0.42312300        0.05793135
       -9.79979980       64.79711212        5.14627454       56.00331224        3.18937028        0.40122615        0.05692891
       -9.77977978       60.46961551        4.72651693       52.38841232        2.92202836        0.37721084        0.05544704
       -9.75975976       55.98234021        4.29168730       48.63175820        2.65294417        0.35232175        0.05362880
       -9.73973974       51.51556290        3.86006352       44.88266142        2.39358580        0.32765773        0.05159444
       -9.71971972       47.20608937        3.44639159       41.25328899        2.15288957        0.30408468        0.04943454
       -9.69969970       43.14796144        3.06124029       37.82042014        1.93689469        0.28219282        0.04721350
       -9.67967968       39.40089778        2.71104636       34.63377010        1.74879937        0.26230112        0.04498082
       -9.65965966       36.00341934        2.39873497       31.72800714        1.58938570        0.24450509        0.04278644
       -9.63963964       32.98702763        2.12469863       29.13516526        1.45771064        0.22875697        0.04069613
       -9.61961962       30.38796468        1.88786888       26.89440470        1.35192550        0.21496236        0.03880325
       -9.59959960       28.25395967        1.68663348       25.05694484        1.27007252        0.20307462        0.03723421
       -9.57957958       26.64477932        1.51943117       23.68531060        1.21072187        0.19316933        0.03614636
       -9.55955956       25.62701973        1.38496971       22.84749224        1.17335309        0.18548650        0.03571819
       -9.53953954       25.26498889        1.28212493       22.60785127        1.15844331        0.18043612        0.03613326
       -9.51951952       25.61035038        1.20965386       23.01728110        1.16728437        0.17857068        0.03756037
       -9.49949950       26.69320535        1.16587549       24.10506445        1.20159789        0.18053426        0.04013325
       -9.47947948       28.51649898        1.14844001       25.87408781        1.26303895        0.18699932        0.04393289
       -9.45945946       31.05431539        1.15424313       28.29982369        1.35267482        0.19859871        0.04897503
       -9.43943944       34.25321762        1.17947453       31.33218208        1.47050238        0.21585475        0.05520388
       -9.41941942       38.03479548        1.21974665       34.89841543        1.61504070        0.23910115        0.06249155
       -9.39939940       42.29738965        1.27024363       38.90509171        1.78302017        0.26839278        0.07064135
       -9.37937938       46.91569379        1.32585706       43.23784923        1.96919147        0.30340295        0.07939308
       -9.35935936       51.73838508        1.38131649       47.75902369        2.16629661        0.34331936        0.08842893
       -9.33933934       56.58557395        1.43135448       52.30481369        2.36526199        0.38676335        0.09738044
       -9.31931932       61.24902534        1.47094965       56.68479734        2.55567297        0.43176645        0.10583893
       -9.29929930       65.49821349        1.49566315       60.68678469        2.72655494        0.47583827        0.11337243
       -9.27927928       69.09410562        1.50203404       64.08895552        2.86741826        0.51614589        0.11955192
       -9.25925926       71.81038403        1.48795281       66.67920446        2.96944027        0.54979961        0.12398689
       -9.23923924       73.45929600        1.45291083       68.27922035        3.02658806        0.57420942        0.12636735
       -9.21921922       73.91734103        1.39804214       68.76888254        3.03646050        0.58745052        0.12650534
       -9.19919920       73.14529174        1.32592777       68.10576824        3.00066351        0.58856439        0.12436783
       -9.17917918       71.19789274        1.24020231       66.33524365        2.92462389        0.57773005        0.12009284
       -9.15915916       68.22073437        1.14505950       63.58855912        2.81686673        0.55626535        0.11398367
       -9.13913914       64.43456923        1.04477615       60.06896536        2.68789197        0.52645510        0.10648064
       -9.11911912       60.10988817        0.94335260       56.02832586        2.54885662        0.49123896        0.09811413
       -9.09909910       55.53623035        0.84431421       51.73836783        2.41028338        0.45381841        0.08944653
       -9.07907908       50.99117862        0.75065500       47.46127716        2.28098132        0.41725280        0.08101234
       -9.05905906       46.71340824        0.66485814       43.42387718        2.16729902        0.38410891        0.07326499
       -9.03903904       42.88289768        0.58891523       39.79847573        2.07275805        0.35621128        0.06653739
       -9.01901902       39.60992010        0.52428979       36.69203863        1.99805385        0.33451769        0.06102014
       -8.99899900       36.93304853        0.47181606       34.14398477        1.94136810        0.31912125        0.05675835
       -8.97897898       34.82529684        0.43157075       32.13178614        1.89891245        0.30936186        0.05366564
       -8.95895896       33.20672692        0.40278317       30.58275988        1.86561507        0.30401706        0.05155173
       -8.93893894       31.96136904        0.38384781       29.38996196        1.83586441        0.30153617        0.05015869
       -8.91891892       30.95611181        0.37247519       28.42991744        1.80423641        0.30028204        0.04920073
       -8.89889890       30.05929815        0.36597402       27.58002442        1.76614739        0.29874996        0.04840236
       -8.87887888       29.15706890        0.36161586       26.73378974        1.71838986        0.29574256        0.04753089
       -8.85885886       28.16594754        0.35700814       25.81251246        1.65951778        0.29048877        0.04642039
       -8.83883884       27.04067229        0.35039738       24.77253401        1.59005151        0.28270370        0.04498569
       -8.81881882       25.77679959        0.34084336       23.60766371        1.51247514        0.27259143        0.04322594
       -8.79879880       24.40811388        0.32823798       22.34685363        1.43100840        0.26079550        0.04121838
       -8.77877878       22.99939972        0.31317991       21.04765572        1.35115710        0.24830372        0.03910327
       -8.75875876       21.63566106        0.29674733       19.78645520        1.27908069        0.23631583        0.03706201
       -8.73873874       20.40934961        0.28022866       18.64688982        1.22085406        0.22608648        0.03529060
       -8.71871872       19.40747347        0.26487299       17.70813779        1.18173035        0.21876073        0.03397161
       -8.69869870       18.70046917        0.25170846       17.03477029        1.16551953        0.21522278        0.03324812
       -8.67867868       18.33436299        0.24145368       16.66954853        1.17417813        0.21597960        0.03320306
       -8.65865866       18.32705696        0.23452113       16.62992991        1.20766202        0.22109697        0.03384694
       -8.63863864       18.66870997        0.23108763       16.90827030        1.26403888        0.23019738        0.03511577
       -8.61861862       19.32537830        0.23119236       17.47498147        1.33980567        0.24251907        0.03687972
       -8.59859860       20.24456153        0.23481949       18.28343192        1.43032424        0.25702473        0.03896115
       -8.57857858       21.36121198        0.24193201       19.27529760        1.53028187        0.27254094        0.04115956
       -8.55855856       22.60310954        0.25244337       20.38537837        1.63410315        0.28790505        0.04327960
       -8.53853854       23.89513975        0.26613846       21.54547048        1.73627618        0.30209690        0.04515772
